Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
"Which of the following is a technological tool that a business uses to store, update, and access various types of information:",Newsletter,Instruction manual,Relational database,Microfilm,C,"Relational database. A relational database contains various types of data that are organized in tables. By setting a query, the categories of information can be linked together in a variety of combinations to obtain the desired output. The categories might contain data such as the customers' names, addresses, phone numbers, order dates, payment dates, etc. For example, a business might want to know which customers have overdue accounts within a certain time frame, such as 60 days. By setting a query, the business can retrieve the data in a report, which it can use to follow up with the customers. The same database may also contain sales information. The sales manager can set a query to obtain the names of the customers who have ordered a certain dollar-volume range (e.g., $5,000 - $10,000) within a certain period (e.g., September 1, 2009 - December 31, 2009). The sales manager can use the data to prepare forecasts, analyze customer buying habits, etc. Newsletters, instruction manuals, and microfilm are not technological tools that a business can use to store, update, and access various types of information from https://www.ibm.com/topics/relational-databases",Knowledge Management,2,medium
"When natural resources are used to produce a good or service, they become __________ resources.",economic,monetary,financial,capital,A,"Economic. Economic resources are the human and natural resources and capital goods used to produce goods and services. When a natural resource such as land is used to grow crops or to provide a location for factories or stores, it becomes an economic resource because it is helping produce goods and services. Capital, financial, and monetary refer to the money needed to run a business.",Economics,2,easy
"When prioritizing work, employees should place the most importance on work that involves",interactive tasks.,tight deadlines.,interpersonal communication.,routine activities.,B,"Tight deadlines. Prioritizing involves ranking things in the order of their relative importance. Individuals evaluate many factors when prioritizing their work, including the task's deadline and the time that it will take to complete the task. If an important report is due in one hour and it takes 30 minutes to prepare, the employee will need to complete the report before working on anything else. Tight deadlines may or may not involve interpersonal communication or the completion of routine activities or interactive tasks. from https://www.teamwork.com/blog/how-to-prioritize-tasks/ Test 1304 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Operations,2,medium
Which of the following is a reason to apply knowledge management processes:,To reduce innovation,To increase specialization,To manage information overload,To promote an affective culture,C,"To manage information overload. Information overload includes the problems created by the presence or availability of too much information, which can cause a person to feel overwhelmed or have difficulty making decisions. Knowledge managementâ€”the process of creating, identifying, collecting, organizing, sharing, and using knowledge and knowledge sources for the benefit of the organization or businessâ€”helps manage information overload. Knowledge management processes help businesses respond to increased specialization, rather than increasing specialization themselves, and they can support increased innovation. Knowledge management practices are not related to an affective culture (one that tends to readily show emotions). Retrieved August 15, 2024, from https://teslagov.com/managing-information-overload-throughknowledge-management/",Knowledge Management,2,easy
"As the size and power of United States businesses have increased over time, the federal government's involvement in the U.S. economy has",decreased.,stayed the same.,become unimportant.,increased.,D,"Increased. As the country has grown and business has expanded, the role of government in business has grown as well. Government's role now includes not only passing laws that affect business but enforcing those laws. Other causes of government's increased involvement in the economy include changes in people's attitudes, concern for the environment, and increasing industrialization.",Economics,2,medium
"According to the statement of cash flows in a company's annual report, its cash flow from operations last year was $5,260,300 and its capital expenditures were $980,200. What was the company's free cash flow?",########,########,########,########,A,"$4,280,100. Free cash flow is the capital that a company has left at the end of a year after paying all of its expenses and making any necessary new capital expenditures. Investors often calculate a company's free cash flow to determine whether the company has funds to pay dividends to investors. The formula used to calculate free cash flow is Free Cash Flow = Cash Flow from Operations âˆ’ Capital Expenditures. To determine the company's free cash flow, simply subtract the capital expenditures noted from the given cash flow from operations ($5,260,300 âˆ’ $980,200 = $4,280,100). https://www.investopedia.com/terms/f/freecashflow.asp",Financial Analysis,2,hard
Mara recently accepted a job with the Sweet Treat Cookie Company. Her new employer required her to sign a document stating that she will not reveal the ingredients in the company's cookie recipes to external sources. This is an example of a(n),nondisclosure agreement.,indictment.,injunction.,noncompete provision.,A,"Nondisclosure agreement. A nondisclosure agreement is a contract between an employer and an employee that states that the employee will not reveal the employer's trade secrets (e.g., formula, recipe, manufacturing technique) to future employers for whom the employee might work. The purpose of a nondisclosure agreement is to provide businesses with legal protection if a competitor attempts to use revealed information for financial gain or benefit. Nondisclosure provisions or agreements are often part of the noncompete agreement, which is a contract between an employer and an employee that states that the employee will not work for a competitor for a certain length of time after leaving the company. An indictment is a court-issued statement that formally charges an individual with a crime. An injunction is a court order forbidding a business or a person to perform certain activities. August 15, 2024, from https://www.investopedia.com/terms/n/nda.asp Test 1304 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Knowledge Management,2,easy
The primary reason that people lose or leave their jobs is that they have,difficulty understanding their jobs.,difficulty getting along with others.,poor self-esteem.,poor job performance.,B,Difficulty getting along with others. The primary reason that people lose or leave their jobs is that they have difficulty getting along with others. More people are fired because they can't get along with their coworkers than for any other reason. Businesses usually let such people go because of the problems they cause within the business. Help is usually offered to employees who need a better understanding of their jobs or have poor job performance. Poor self-esteem is a personal problem that the individual must work to correct.,Emotional Intelligence,2,easy
Which of the following are results of properly using analytical reports:,Better flexibility and damaged reputation,Improved adaptability and greater independency,Improved productivity and enhanced communication,Increased collaboration and decreased adaptability,C,"Improved productivity and enhanced communication. An analytical report is a business document that uses data to display information leading to a specific conclusion. Businesses use analytical reports to make informed decisions, solve problems, or discover business opportunities. Analytical reports are important for several reasons, as they can lead to improved productivity, enhanced communication, increased collaboration, and improved adaptability (or flexibility). Decreased adaptability, greater independency, and damaged reputation are not results of the proper use of analytical reports. action) August 15, 2024, from https://www.indeed.com/career-advice/career-development/what-is-analyticalreport",Communication Skills,2,easy
One of the most basic requirements of demonstrating honesty and integrity is to,report any dishonest behavior you hear about.,know how to avoid answering some questions.,learn from others' conversations.,tell the truth in all situations.,D,"Tell the truth in all situations. Being truthful is a basic requirement of behaving with honesty and integrity. Don't try to avoid questions, but give an honest, straightforward response. You should not report dishonest behavior unless you have seen it yourself and know that it actually happened. You can learn from conversations in which you participate, but you should not eavesdrop on the conversations of others.",Emotional Intelligence,2,medium
Which of the following is most likely to occur as a result of a weak dollar in the United States:,Americans will buy fewer imports.,Americans will experience higher unemployment rates.,Americans will pay higher interest rates.,Americans will sell fewer exports.,A,"Americans will buy fewer imports. A weak dollar in the United States is tied to low interest rates on loans. When the dollar is weak, foreign goods are more expensive, so Americans tend to buy American-made goods rather than imports. This stimulates the economy because high demand for American goods increases employment and wages. from https://money.howstuffworks.com/fed-change-interest-rate.htm",Economics,3,easy
What type of law addresses issues that interfere with a firm's right to do business?,Criminal,Judiciary,Tort,Environmental,C,"Tort. The concept of wrongful action is the basis of all torts. Tort law that applies to business involves the wrongful interference with the right of a business to operate. Therefore, business torts are wrongful actions against a business that cause it harm in some way. An example might be unfair competition. Criminal law addresses issues that involve wrongdoing against society, such as robbery and murder. Environmental law addresses issues that affect the environment and natural resources. Judiciary refers to the judicial branch of a government and the ways in which court systems are established. https://tort.laws.com/tort-law Test 1304 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Business Law,3,easy
Which of the following statements regarding the relationship between a business and its supply chain is true:,"If a business's supply chain is poorly managed, customer satisfaction is likely to suffer.",A business's supply chain has very little impact on the business's overall success.,Supply chains with organizational problems tend to boost members' overall success.,Effective supply chain management results in lower customer satisfaction.,A,"If a business's supply chain is poorly managed, customer satisfaction is likely to suffer. A business's supply chain has a large impact on the business's overall success. One of the ways poor supply chain management can negatively impact a business is through decreasing customer satisfaction. Companies that can't effectively distribute their products to consumers will likely lose many of their customers. Effective supply chain management, on the other hand, generally results in higher customer satisfaction, because products are distributed quickly and effectively. Supply chains with organizational problems tend to hurt a business's success, not boost it.",Operations,3,medium
Ariel keeps all of her clients' information on her company's server. What method can Ariel use to ensure the information is unreadable to unauthorized users?,Installing antivirus software,Posting a security policy,Creating strong passwords,Encrypting the information,D,"Encrypting the information. Encryption is the only method that makes data unreadable to unauthorized users. Installing antivirus software, creating strong passwords, and posting a security policy are all effective means to protect digital customer data, but only encryption makes the information completely unreadable to all unauthorized users. customers' credit-card numbers, passwords, customer transactions) 15, 2024, from https://www.amfam.com/resources/articles/your-business/ways-to-protect-customerinformation",Operations,3,hard
"The Maxwell Manufacturing Company regularly inspects its production equipment and conducts regular maintenance activities to ensure that the equipment works correctly and is not a danger to employees. By conducting these activities, Maxwell is complying with laws that relate to",workplace safety.,chemical emissions.,discrimination.,technical security.,A,"Workplace safety. Governments develop regulations to ensure the safety of workers. Workers often operate dangerous equipment, so businesses must ensure that the equipment is maintained and safe to use to reduce the risk of injury. Some government regulations require that businesses have equipment inspected on a regular basis by a government agent or independent entity to ensure that the business is complying with safety regulations. Environmental laws regulate chemical emissions. Employment laws regulate discrimination in the workplace. Computer and cyberspace laws regulate technical security. https://www.osha.gov/workers/employer-responsibilities",Operations,3,hard
Which of the following is an example of ethical behavior:,Building relationships,Bending the rules,Honoring your promises,Imitating what others do,C,Honoring your promises. Honoring your promises is an example of an action that aligns with ethical principles. Bending the rules is not ethical behavior. Building relationships and imitating what others do are not necessarily ethical.,Emotional Intelligence,3,easy
What should you include in the conclusion section of a research report?,A detailed analysis of your argument,New information to make your argument stronger,Background information about your topic,Reasons why your research findings are significant,D,"Reasons why your research findings are significant. A research report's conclusion is meant to summarize and reiterate the argument you have been trying to make throughout the report. The conclusion should be general in nature, not detailed, and emphasize why the reader should care about the report. Rather than introducing new information and background information in the conclusion, all information relevant to the research should be introduced in earlier sections. https://writing.wisc.edu/handbook/assignments/planresearchpaper/ Test 1304 BUSINESS",Communication Skills,3,easy
What management function establishes a business's goals and objectives?,Directing,Organizing,Planning,Staffing,C,Planning. Planning is the management function of deciding what will be done and how it will be accomplished. Setting goals is the first step in planning. Organizing is setting up the way the business's work will be done. Staffing is finding workers for the business. Directing is providing guidance to workers and work projects.,Strategic Management,3,medium
"One of the most important, fundamental keys to successful change management is",minimizing use of resources.,involving everyone in the organization.,ensuring changes do not impact competitiveness.,focusing on processes over people.,B,"Involving everyone in the organization. Change management impacts entire organizations. Therefore, everyone needs to be involved in the process. Focusing on processes over people, using as few resources as possible, and ensuring changes do not impact competitiveness are not keys to successful change management. https://www.forbes.com/sites/groupthink/2017/08/15/the-4-dos-of-changemanagement/2/#3a53e2456768",Strategic Management,3,hard
The use of sorting techniques to capture knowledge involves,obtaining and storing confidential information.,documenting relevant facts.,comparing and ordering concepts.,setting long-term objectives.,C,"Comparing and ordering concepts. Knowledge management involves leveraging the expertise, insight, and information of internal and external resources to help an organization achieve its goals. An important aspect of knowledge management involves capturing the expertise, insight, and information, so the business can use it in meaningful ways. A business can use many different tools to capture knowledge in an organization. Sorting techniques allow the business to compare all of the data and information that it has collected, categorize it, and place it in a meaningful order or sequence. This process allows the business to look at all of the knowledge that it has gathered in different ways. This often helps the business determine efficiencies and inefficiencies within the business. Sorting techniques often help a business determine if any of the information that it has collected is confidential or relevant. After sorting and analyzing the information, the business may decide to take corrective action by changing some of its objectives. Retrieved August 15, 2024, from https://www.proprofs.com/c/knowledge-management/acquire-applyknowledge-acquisition-organization/",Knowledge Management,3,easy
"Which of the following statements accurately describes the relationship between innovation, learning, and change:","Innovation triggers internal and external changes, leading to new learning.","Internal and external changes trigger new learning, leading to innovation.","Internal and external changes trigger innovation, leading to new learning.","New learning triggers innovation, leading to internal and external changes.",B,"Internal and external changes trigger new learning, leading to innovation. Both internal and external changes trigger the need for companies to learn and adapt to new situations and trends, resulting in innovation. The other alternatives incorrectly describe the relationship among innovation, learning, and change. http://www.innovation-management.org/managing-change-and-innovation.html",Strategic Management,4,hard
"Rachel says to the audience, â€œNow that you have some insight about the nature of the problem, I'll discuss the methodology that our firm used to conduct the research.â€ This statement is an example of a(n)",gesture.,transition.,introduction.,conclusion.,B,"Transition. An effective transition helps the speaker move from one topic to another in a way that makes sense to the audience. In the example, Rachel tells the audience that she is moving on to another topic by relating the background information to the research methodology. During the introduction of an oral presentation, the speaker greets the audience, captures its attention, and provides an overview of the topic at hand. The speaker summarizes the discussion, answers the audience's questions, and thanks the audience for its time during the conclusion of the presentation. Gestures are nonverbal cues that involve movement of arms and legs.",Communication Skills,4,easy
The ability of an individual to influence the actions of other people is known as,charisma.,leadership.,authority.,power.,D,"Power. Power is the ability of an individual to influence the actions of other people. Charisma is an attractiveness to others, often through a charming personality. Authority is the formal or legal right to give orders and commands to others. Leadership is the action of taking charge of a group of people.",Emotional Intelligence,4,easy
How does having a customer-service mindset benefit a business's employees?,It creates a competitive work environment.,It increases the employees' efficiency levels.,It helps the business achieve its profit goals.,It helps employees advance in their careers.,D,"It helps employees advance in their careers. Employees who are customer-oriented often receive compliments from customers, positive performance evaluations, and raises and/or promotions. Efficiency levels and the level of competitiveness vary from person to person. Achieving the business's profit goals benefits the employer. from https://www.mindtools.com/alns31s/customer-service-mindset",Customer Relations,4,easy
What is the first step of the litigation process?,The defendant answers a complaint.,The defendant files a complaint.,The plaintiff answers a complaint.,The plaintiff files a complaint.,D,"The plaintiff files a complaint. The litigation process begins when the plaintiff files a complaint with the court. Then, the defendant must answer within a certain time period. The defendant does not file the complaint. https://subscriptlaw.com/the-litigation-process-2",Business Law,4,easy
"Cameron knows that lying to clients is wrong, but his supervisor encourages it and acts like it is a necessary part of the project's success. Cameron is tempted to act unethically because of",the pressure to hit key deadlines.,his power and authority.,his lack of ethical principles.,the organizational culture.,D,"The organizational culture. Sometimes, the organizational culture within which project managers are working is the cause of unethical behavior. If top-level management encourages unethical behavior or demands unreasonable outputs, project managers might not see a problem with unethical actions. They might feel that they don't have a choice. Cameron's situation is an example of this. In this instance, Cameron is not tempted to act unethically because of his power and authority, the pressure to hit key deadlines, or his lack of ethical principles.",Operations,4,medium
"By cleaning up their work areas at the end of each day, employees usually are able to",lead change.,complete work accurately.,cope with problems.,stay organized.,D,"Stay organized. Taking a few minutes at the end of each day to check their work areas is one thing employees can do to stay organized. Employees should put things in order by putting away everything they can. It's better psychologically to start each workday in a work area that is reasonably well organized. Cleaning up their work areas will not help employees to complete accurate work, lead change, or cope with problems. from https://www.teamwork.com/blog/how-to-prioritize-tasks/",Professional Development,4,easy
Jorge was hired by a company to establish a plan to protect its digital assets. What is the first thing Jorge should do in this process?,Purchase a cyber insurance policy,Back up all digital assets,Register for ownership of digital assets,List all of the company's digital assets,D,"List all of the company's digital assets. One of the very first things Jorge should do is create a list of all of the company's digital assets. It is important to have a full and complete understanding of all of the company's assets, which can include its website, social media accounts, client lists, intellectual properties, etc. Having a complete list of the company's digital assets will allow Jorge to properly protect those assets. Registering for ownership of digital assets, purchasing a cyber insurance policy, and backing up all digital assets are important steps Jorge will follow after making a list of the company's digital assets. email, etc.) from https://www.auditboard.com/blog/how-to-protect-your-digital-assets",Operations,4,easy
Which of the following is a strategy to help manage risks in a global supply chain:,Accept lower quality levels,Work only within the same time zone,Work with experienced partners abroad,Hire only local workers,C,"Work with experienced partners abroad. Working with a partner that has experience in a particular market can help companies learn about and mitigate the risks particular to that market. Hiring only local workers will not necessarily help manage risks; in fact, it could bring more risks due to different labor laws. Working within the same time zone might help eliminate some risks, but it will also limit the company's ability to expand into most markets. Finally, accepting lower quality levels will not manage risks; it can create more risk by making the company liable for defects. 2024, from https://www.blumeglobal.com/learning/supply-chain-challenges/",Operations,4,medium
"To secure confidential financial data that are transmitted online, businesses often use",bots.,debuggers.,cross-platform technology.,encryption techniques.,D,"Encryption techniques. Risk management is a business activity that involves implementing activities to limit business losses. One way that businesses control security risks is by using encryption to prevent unauthorized individuals (e.g., hackers) from obtaining confidential financial data. Encryption is the process of transforming information into a code so that only the recipient can read it. A bot is a program that scans the web looking for information changes. Cross-platform technology refers to computer applications that can run on different platforms, such as Windows and Macintosh. Debuggers are computer programs that help programmers identify flaws or ""bugs"" in a computer program. https://www.techtarget.com/searchsecurity/definition/encryption",Risk Management,4,medium
The main difference between arbitration and mediation is that,mediation involves a third party.,mediation applies to criminal cases.,arbitration is a nonbinding process.,arbitration involves a judgment.,D,"Arbitration involves a judgment. Both arbitration and mediation are used either to avoid litigation or alongside it, employing a third party to try to negotiate. However, arbitrators pass down a decision about the evidence given. Mediators simply help guide discussion and resolve the conflict. Mediation does not only apply to criminal cases. Finally, arbitration can be a binding process that replaces a trial. Retrieved August 15, 2024, from https://adr.findlaw.com/mediation/mediation-vs-arbitration-vslitigation-whats-the-difference.html Test 1304 0 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Business Law,5,medium
Operating costs that are fixed until the business reaches a certain level of production and then become variable are known as __________ expenses.,unfixed,fluctuating,semi-variable,capital,C,"Semi-variable. Operating costs that are fixed until the business reaches a certain level of production and then become variable are known as semi-variable, semi-fixed, or mixed expenses. Fluctuating expenses would describe fully variable expenses. Unfixed expenses is not a term used in business. Capital expenses are onetime purchases a business makes, such as land or equipment.",Operations,5,medium
"Rita knows she will get a bonus if she pushes for her company to go through with a merger, but she also knows that in the long term, this merger might threaten her job. If Rita supports the merger, she is likely motivated by",sunk costs.,incrementalism.,short-term gratification.,overoptimism and overconfidence.,C,Short-term gratification. Short-term gratification is the pursuit of instant satisfaction rather than delaying rewards for greater long-term benefit. Rita is motivated by short-term gratification because she is pursuing short-term rewards (a bonus) rather than making the decision that will benefit her more in the long run (keeping her job). Sunk costs are costs that have already been incurred and thus cannot be recovered. Overoptimism and overconfidence occur when people are overly sure of themselves. Incrementalism is the diminishing of ethical values over time.,Financial Analysis,5,medium
One activity associated with the directing function of management is,interviewing applicants.,establishing goals.,instructing employees.,determining tasks.,C,"Instructing employees. Directing is the management function of providing guidance to workers and work projects. When managers provide employees with guidance, they are often providing employees with instructions about performing tasks in a certain sequence or manner. Establishing goals is a planning activity. Determining tasks is an organizing activity. Interviewing applicants is a staffing activity. from https://www.managementstudyguide.com/directing_function.htm",Strategic Management,5,medium
The first step in the control process that management should follow to determine if the company is achieving planned annual sales and profits is to,take corrective action.,set monthly or quarterly sales and profit goals.,monitor sales and profit performance.,determine causes of lagging sales or profits.,B,Set monthly or quarterly sales and profit goals. The first step is to set monthly or quarterly goals that will give management a yardstick by which to measure performance. The alternatives are the other steps in the control process that occur later. These steps cannot be carried out until the goals are set. controlled),Strategic Management,5,easy
Why would a business's stockholders be interested in the business's accounting records?,To find out whether the business plans changes,To know when to send in their next dividend,To know whether they have made a good investment,To find out what benefits employees receive,C,"To know whether they have made a good investment. Individuals who have invested their money in a business are its stockholders, and they are interested in the profits shown on the firm's accounting reports. This information tells them whether they have made a good investment or should change their investment to another company. Stockholders usually receive dividends from the business. Accounting reports do not show planned changes or employee benefits. Test 1304 1 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Financial Analysis,5,medium
The final step of change management is to,create a vision.,undo the change.,implement the change.,analyze results.,D,"Analyze results. An analysis of the change should be the final step in change management because this step is used to review the entire process comprehensively. Conducting an analysis or review of change can help businesses understand whether the change was a success, failure, or requires more time or study to reach a conclusion. Creating a vision and implementing the change are steps in the change-management life cycle, but neither are last in the process because both of the steps come before the result of the change, which then requires an analysis. Undoing the change is not a step in the change management process. 15, 2024, from https://online.hbs.edu/blog/post/change-management-process",Strategic Management,5,medium
"While a U.S. company conducts business in Chile, the value of the Chilean peso fluctuates and depreciates against the U.S. dollar. This is an example of which of the following types of risk:",Foreign exchange,Security and fraud,Geopolitical,Competition,A,"Foreign exchange. Foreign exchange risk occurs when an investment's value changes due to fluctuations in the currency exchange rate. Geopolitical risk occurs when a government suddenly changes its trade policies. Security and fraud risk involves issues like data breaches and identity theft. Competition risk refers to a business's competitors, which are not mentioned in this scenario. https://www.investopedia.com/ask/answers/06/internationalfinancerisks.asp",Risk Management,5,medium
"Which of the following tools can be used to reduce information redundancy, control access to information, and share and back up data:",Database management systems,Financial accounting software,Social networking websites,Cloud-based storage applications,A,"Database management systems. Database management systems allow users to create, retrieve, manage, and update databases. Some of the primary benefits of database management systems are the ability to reduce data redundancy, control access to information, and share and back up important data. Cloud-based storage applications are used to store information in a remote server accessed from the Internet. Social networking websites such as Facebook and X are internet-based communication tools that allow people to interact online. Financial accounting software assists users with various financial accounting activities. 15, 2024, from https://www.lifewire.com/database-management-system-1019609",Information Management,5,medium
"The production manager of a company that produces wrenches, hammers, and electric drills would most likely report to the",operations assistant.,quality control line supervisor.,director of purchasing.,vice president of manufacturing.,D,"Vice president of manufacturing. The chain of command defines the level of authority in a business and specifies the individual who supervises particular employees. The advantage to having a chain of command is that it provides the business with structure and organization. Large companies often set up their chain of command by department. For example, the production manager of a tool manufacturing company would likely report to the vice president of manufacturing. The quality control line supervisor would most likely report to the production manager. The director of purchasing manages the business's purchasing department. An operations assistant provides administrative support for the operations function of the business and would most likely report to the operations manager. August 15, 2024, from https://trupathsearch.com/manufacturing-organizational-chart/ Test 1304 2 Copyright Â© 2025 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Professional Development,5,easy
Operations managers must work closely with managers and employees in,the marketing department only.,all other parts of the business.,foreign markets.,competing businesses.,B,"All other parts of the business. Operations managers must work closely with managers and employees in all other parts of the business. This is because operations activities affect every other business function, including marketing, finance, and human resources. Depending on the business, operations managers may or may not work with managers or employees in foreign markets. Operations managers do not work with managers or employees in competing businesses.",Operations,6,easy
"To help ensure that its records will survive a large scale disaster such as a flood or hurricane, the ABC Company should store its records",in a remote location.,on desktop computers.,in a locked file room.,in digital formats,A,"In a remote location. Storing records in a remote location far from the business can help protect information if a major disaster would strike. Storing records in a locked file room helps achieve security, but would be of little help if a tornado destroyed the building they were in. Records stored on desktop computers would not survive a disaster unless the records were regularly backed up to a remote location. Storing records in digital formats can enable the easy transmission of data to remote locations, but if the data were not stored remotely before tragedy struck, there would be little that could be done to recover them.",Information Management,6,easy
