Question,A,B,C,D,Correct,Explanation,HosPricingtality,Assessment,Difficulty
Which of the following is a benefit of accepting credit card payments:,Higher wage expenses,More chargebacks,Increased processing fees,Improved cash flow,D,"Improved cash flow. Cash flow is the amount of cash a business has to work with at any given time. By accepting credit card payments, businesses often experience faster payment times and shorter delays, which improves their cash flow. Processing fees are fees charged for the facilitation of credit card payment by a merchant account or payment service provider. Chargebacks are disputed transactions initiated by customers. Processing fees and chargebacks are not beneficial to a business. Wage expenses are not typically connected to acceptance of credit card payments. https://www.investopedia.com/how-to-accept-credit-card-payments-5078027",Financial Analysis,2,easy
"Farms, mines, and lumber companies are examples of",manufacturers.,raw-goods producers.,trade industries.,builders.,B,"Raw-goods producers. Raw-goods producers provide goods in their natural, or raw, states. Some raw-goods producers include farms, mines, fisheries, and lumber companies. Raw-goods producers do not refine or change the raw goods to make them into finished goods, but they provide the raw goods without which other producers could not make their products. Farms, mines, and lumber companies are not considered manufacturers, trade industries, or builders.",Economics,2,easy
"Delivering consistent service to customers can be challenging, especially for those in the hospitality and tourism industry. One strategy to help make sure all customers receive consistent, quality service is by",training employees in company procedures.,ensuring diversity in the company workforce.,working with a limited customer base.,providing flexible schedules for employees.,A,"Training employees in company procedures. Developing uniform, company-approved procedures, and then training employees to follow those procedures, is the best way to provide consistency across customer service experiences. Limiting the customer base would have a negative effect on the business. Neither flexible schedules for employees nor diversity in the workforce are related to consistent customer service. August 12, 2024, from https://tripleseat.com/blog/why-consistency-is-vital-for-restaurant-operations/ HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 4",Customer Relations,2,hard
Which of the following is an individual (personal) influence on buying behavior:,Culture,Age,Family,Time constraints,B,"Age. Age is a personal influence on buying behavior. It tends to affect a person's needs, wants, tastes, preferences, etc. Family is a social influence on buying behavior. Time constraints are a situational influence on buying behavior. Culture is a separate influence on buying behavior that refers to the traditions and values that are passed down through generations.",Marketing,2,easy
"A national pizza chain guaranteed 30-minute delivery, but several of its drivers had serious car accidents while rushing to meet this deadline. A negative outcome of the delivery guarantee for the pizza chain is that it caused an increase in",business risk.,sales.,employment.,economic risk.,A,"Business risk. The firm's business risk increased because of the chance of accident or injury, which could result in lawsuits, medical expenses, and other losses. Economic risks are risks caused by changes in the market that force a lowering of prices, a change of product, or failure of businesses. Increased sales and employment would be positive outcomes of a business's policy. 2024, from https://www.investopedia.com/terms/b/businessrisk.asp",Operations,2,easy
"Madison is in charge of a project team tasked with developing a sales brochure. After starting to design the layout, though, Madison realizes the team might need to create an additional brochure for a separate product line. What aspect of the project is Madison monitoring and correcting?",Scope,Quality,Schedule,Budget,A,"Scope. A projectâ€™s scope is what it will and will not include. It is the work that will actually be done for the project. It is important to monitor scope because projects have the tendency to change over time. As you start working on your project, you may realize that you need to add to or take away from its scopeâ€”in Madisonâ€™s case, her team needed to add to its project scope. Budget, quality, and schedule are all aspects of a project that require attention, but they are not demonstrated in this example.",Operations,2,hard
"Colleen, a mid-level manager, has the kind of personality and communication skills that can motivate others to work toward the company's goals. Colleen can make the best use of these skills in which management function?",Organizing,Staffing,Directing,Controlling,C,Directing. Directing is the management function of providing guidance to workers and work projects. Controlling is the management function that monitors the work effort. Staffing is the management function of finding workers for the business. Organizing is the management function of setting up the way the business's work will be done.,Strategic Management,2,medium
Lucia's Bistro is struggling to keep up with the dinner rush. The managers decide to offer half-off appetizers from 3-5 p.m. as a way to,manage customer experience during peaks in demand.,reduce the number of customers to maximize capacity.,improve product quality.,increase its gross sales margins.,A,"Manage customer experience during peaks in demand. Hospitality and tourism businesses often experience peaks in demand and need to manage customers' experiences when busy. Lucia's Bistro experiences peaks in demand during regular dinner hours. Lucia's Bistro needs to manage this demand without angering impatient customers or losing business. The restaurant can shift demand by offering deals that draw people into the restaurant earlier, spreading demand out and making it easier to manage. Offering half-off appetizers will not necessarily increase gross sales margins, improve product quality, or reduce the number of customers. hours. Retrieved August 12, 2024, from https://pourmybeer.com/managing-beverage-service-peakhours/ HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 5",Customer Relations,2,medium
The term â€œwageâ€ is usually associated with a(n) __________ workforce.,aging,hourly,salaried,qualified,B,"Hourly. The term ""wage"" is typically associated with an hourly workforce, which is workers whose compensation is documented and paid by the number of hours worked. Salaries are money payments for labor that, unlike hourly wages, are typically expressed in annual figures. The term ""wage"" is not necessarily associated with an aging or qualified workforce. August 9, 2024, from https://www.indeed.com/career-advice/career-development/wages-vs-salary",Financial Analysis,2,medium
What is a common challenge a business may face with the use of unstructured business data?,They are difficult to standardize.,They feature several rows and columns.,They contain more numbers and figures than text.,They are often generated into a table format.,A,"They are difficult to standardize. Unstructured data are any kind of dataâ€”often qualitativeâ€”that don't have a recognized structure, aren't easy to normalize, and are difficult to search through. When a company uses unstructured data, the data are stored in a native format rather than a normalized spreadsheet or table. Unstructured data often contain more text than numbers and figures, making them more difficult to standardize. Content from emails, social media posts, chat records, web content, audio recordings, video recordings, and photos are all considered unstructured data. Structured data are quantitative data that are in a format that a database can easily read and understand. Structured data are often generated into a table or spreadsheet format. 2024, from https://technologyadvice.com/blog/information-technology/structured-vs-unstructureddata/",Information Management,2,easy
What is one way that employees who routinely deal with customers can demonstrate a customer-service mindset?,Keep a straight face,Speak in a monotone,Make eye contact,Stand at attention,C,"Make eye contact. Looking customers in the eye is one way of demonstrating a customer-service mindset. It shows that employees are focused on customers and their needs. Failing to make eye contact indicates indifference and could cause customers to believe employees don't care about them or their needs. Other ways of demonstrating a customer-service mindset include varying the tone of voice, rather than speaking in a monotone, and smiling at customers, rather than keeping a straight face. It is important to maintain good posture, although that doesn't mean employees should stand at attention. service. Retrieved August 8, 2024, from https://blog.hubspot.com/service/body-language-incustomer-service",Customer Relations,3,easy
An insurance company offers customers a discount when they purchase both a homeowners policy and an auto policy. The deal benefits customers by providing them with two needed products for less; it benefits the company by bringing in more customers and encouraging more sales. This is an example of,sales volume analysis.,product bundling.,channel management.,product awareness.,B,"Product bundling. Bundling is a marketing strategy that involves offering several products for sale as one combined product. When done right, product bundling can lead to increased sales for businesses and greater customer satisfaction. An example of product bundling is a homeowners and auto insurance package for less than the price of buying each product separately. Another example is a meal from a fast-food restaurant that combines a burger, fries, and a drink for one low price. Sales volume analysis is a breakdown of sales volume data that allows a company to measure its actual sales against a number of different criteria. Product awareness refers to the target market's knowledge and understanding of a certain brand or product. Channel management refers to processes by which marketers ensure that products are distributed to customers efficiently and effectively. from https://smallbusiness.chron.com/product-bundling-strategy-41789.html HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 6",Product Management,3,medium
Why must a business be very careful about eliminating products?,To make higher prices acceptable,To comply with government regulations,To avoid the need for commercialization,To prevent damaging the company's image,D,"To prevent damaging the company's image. Elimination of products must be done carefully to prevent damaging the company's image. Some weak products can be dropped immediately, but others should be eliminated slowly so that customers have time to find replacements. Some companies continue to provide service for a discontinued product in order to retain customer goodwill. Eliminating weak products is not governed by law. A weak product has already been through commercialization and has failed to be profitable. Eliminating weak products will not make higher prices acceptable to consumers.",Product Management,3,easy
Which of the following is an example of a positive moment of truth in customer service:,Offering a customer satisfaction survey,Following a script when talking to customers,Aggressively upselling to customers,Showing concern for customers' lengthy wait,D,"Showing concern for customers' lengthy wait. A moment of truth in customer service is an interaction during which a customer can form a lasting impression of your company. One way that employees can create positive moments of truth is to demonstrate empathy and concern when customers are experiencing frustration. Customers who feel that the company cares about them will be more likely to form a positive impression. A customer satisfaction survey will not necessarily create a positive moment of truth. Following a script when talking to customers can make the customer feel unimportant and unheard. Finally, aggressively upselling to customers does not necessarily create a positive moment of truth; rather, pushing costlier sales can create a negative impression. August 12, 2024, from https://heartofthecustomer.com/focus-on-moments-of-truth/",Customer Relations,3,easy
What must a company first think of when developing its brand promise?,Brand cues,Private brands,Touchpoints,Brand values,D,"Brand values. When developing its brand promise, a company must first think of its brand values. Brand cues and touchpoints can be ways to communicate brand values. A private brand is owned by the intermediary (retailer, wholesaler, or other distributor) that sells the brand rather than the manufacturer.",Product Management,3,easy
"Kaitlin's boss recently asked her to write a financial report that supports the company's plan to open a new manufacturing plant. Even though she feels uncomfortable â€œfudging the numbersâ€ to support the plan's feasibility, she does it because her boss asked her to. This is an example of how __________ can impact ethics in finance.",obedience to authority,self-interest,conformity and groupthink,incrementalism,A,"Obedience to authority. People have a natural tendency to want to please authority figures, such as their parents, teachers, and bosses. Authority figures have power and influence that can be difficult to contradict. People are willing to believe and go along with what their superiors tell them because they trust their bosses to do the right thing. This is an example of how obedience to authority can impact ethical decision-making in finance. Conformity/Groupthink involve the tendency to behave in the same way that everyone else does, rather than exercising one's own judgment. Incrementalism refers to the diminishing of ethical values over time. Selfinterest refers to the tendency of an individual to look out for themselves. HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 7",Financial Analysis,3,hard
Max just graduated with a college degree in marketing. He enjoys travel and is an experienced kayaker and mountain climber. Which of the following jobs in the hospitality industry would best match his skills:,Adventure sales specialist,Wedding planner,Hotel desk clerk,Human resources director,A,"Adventure sales specialist. Adventure sales specialists help travel organizations and hotels offer specialized outdoor adventures for their guests and clients. Max's degree in marketing would be useful in promoting sales and his interest in travel, kayaking, and mountain climbing would provide him with a lot of helpful knowledge when researching, planning, and recommending adventures. While he might be a good wedding planner, hotel desk clerk, or human resources director, Max is most qualified for a career as an adventure sales specialist. campgrounds. Retrieved August 12, 2024, from https://crrhospitality.com/blog/the-rise-of-outdooradventure-tourism-what-it-means-for-campgrounds/",Professional Development,3,medium
"While Ms. Atwell was checking into the hotel, the front desk clerk said, â€œIf you are interested, there is an outdoor play called The Lost Colony nearby. It is performed every evening during the summer months. We sell tickets here if you would like to attend.â€ This is an example of a",guest inquiring about local festivals and tours.,hotel employee recommending local attractions.,guest collecting tour brochures from the lobby display rack.,hotel employee providing guided tour information.,B,"Hotel employee recommending local attractions. Front desk employees often tell guests about the area's attractions to encourage tourism, which strengthens the local economy. In the example, the front desk clerk is telling the guest about an outdoor play (attraction) in the area. Therefore, a hotel employee is recommending local attractions. The front desk clerk is not providing guided tour information. There is not enough information provided to determine if the guest asked the front desk clerk about festivals and tours or if the guest collected tour brochures from the lobby display rack. https://opentextbc.ca/introtourism/chapter/chapter-6-entertainment/",Selling,3,easy
Rowan is preparing a personal property inventory. He should,include generic descriptions.,exclude garages and sheds.,include receipts for purchases.,exclude family heirlooms and photographs.,C,"Include receipts for purchases. As Rowan is preparing his personal property inventory, he should include detailed descriptions, locations, serial numbers, dates purchased, purchase prices, current values, photos and/or videos, and receipts, if possible. Rowan should include family heirlooms and photographs, and he should take inventory of any garage or shed on the property. His descriptions should be as detailed and specific as possible. 2024, from https://brinkshome.com/smartcenter/how-to-make-a-personal-property-inventory-list",Financial Analysis,3,easy
"Renee is an event planner at a resort. Her most recent client refused to pay for services that were provided at the client's company retreat, which was hosted in one of the resort's ballrooms. The client argued that they never agreed to pay for the services in question. When Renee reviewed the client's invoice, she realized that she had written a vague description of the services being promised, so she removed the service fees from the client's bill. Renee's mistake shows the importance of",making sure that client contact information is accurate on invoice forms.,following up on invoices that are flagged as â€œlateâ€ or â€œunpaid.â€,completing invoice forms with as much detail as possible.,running regular reports on profits and losses based on invoices to date.,C,"Completing invoice forms with as much detail as possible. Invoices are only as valuable as the information they contain. Invoices should be completed with as much detail as possible to avoid conflicts between the client and the seller like the one described above. Vague descriptions of the services promised can lead to confusion, disagreement, and overall client dissatisfaction. For example, ""five hours of DJ service including speakers, lighting, setup, and cleanup"" is a much better description for an invoice than ""five hours of DJ service."" It is also important to make sure that client information is accurate on invoices so that clients can be reached for further questions or concerns. Following up on late or unpaid invoices and running regular profit and loss reports on invoices to date are also best practices for businesses; however, these are not described in the example. August 12, 2024, from https://www.freshbooks.com/hub/payments/keep-track-of-invoices-andpayments HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 8",Operations,3,medium
Which of the following is often the key to successfully managing a project:,Requiring reports,Modifying requirements,Being organized,Listening to complaints,C,"Being organized. Being organized is often the key to a successful project. The manager must be able to take ideas and bring each piece together in an orderly way to achieve project goals. The manager assigns tasks, prepares schedules, and monitors the progress. Therefore, the manager needs to have the ability to stay organized and focused to keep the project on target. When managing projects, it is important to handle complaints rather than simply listen to them. Requirement modifications should be made only if necessary. Requiring reports is not the key to successfully managing a project. In fact, simple projects often do not require reports. steps. Retrieved August 9, 2024, from https://kissflow.com/project/how-project-managers-stayorganized-at-work/",Operations,4,easy
Which of the following is an example of an item that most likely requires a retailer to place a special order with a manufacturer:,Windshield wipers for a 2024 Honda Accord,A color ink cartridge for a printer,Blinds for a nonstandard-size window,A charger for a popular smartphone,C,"Blinds for a nonstandard-size window. A special order is a request for a custom product or a product that a vendor does not normally carry in stock. Window blinds may need to be custom made or special ordered for windows that are an unusual size. Standard replacement parts for popular items on the market (e.g., windshield wipers, phone chargers, ink cartridges) are usually carried in stock and do not require special ordering. https://www.etsy.com/seller-handbook/article/top-tips-for-managing-custom-orders/22821490639",Operations,4,easy
Which of the following is a benefit of customer relationship management:,The opportunity to create targeted marketing campaigns,The ability to double the business's profits,A work force that does not commit errors,A decrease in customer advocacy,A,"The opportunity to create targeted marketing campaigns. The opportunity to create targeted marketing campaigns is one benefit of customer relationship management. The more you know about your customers and their changing needs and wants, the more you know what kinds of marketing communications they will respond to. CRM does not provide an error-free work force. It should result in an increase in customer advocacy. It should help the business increase its profits, but it will not necessarily double them.",Customer Relations,4,medium
Which of the following forms of segmentation involves focusing on customers' lifestyles and personalities:,Demographic segmentation,Geographic segmentation,Psychographic segmentation,Behavioral segmentation,C,"Psychographic segmentation. Psychographic segmentation separates customers into groups based on variables such as customers' personality and lifestyleâ€”in other words, customers' individual qualities or traits and the ways in which people lead their daily lives. Behavioral factors separate markets based on rate of use, benefits derived, loyalty response, and occasion response. Geographic segmentation involves grouping customers according to where they are located. Demographic segmentation divides a market based on its physical and social characteristics such as age, gender, race, or income.",Market Planning,4,medium
Blaming others for your mistakes means that you are,being smart and strategic.,able to get out of trouble.,never going to learn responsibility.,giving up control over your own life.,D,"Giving up control over your own life. Blaming others for your mistakes means that you are giving up control over your own life. If you can't take responsibility for your mistakes, then you can't take credit for your successes! Blaming others isn't smart or strategic, and it will usually get you in more trouble than you might have been in in the first place. Blaming others for your mistakes is a destructive habit, but it can be broken. It doesn't necessarily mean that a person will never learn responsibility. HOSPITALITY AND TOURISM CLUSTER EXAMâ€”KEY 9",Emotional Intelligence,4,easy
A business recently installed a new computer network in its office. Identify the GDP category into which this transaction would be placed.,Personal consumption expenditures,Gross private domestic investment,Government purchases of goods and services,Net exports of goods and services,B,"Gross private domestic investment. Gross private domestic investment includes investment in both residential and nonresidential buildings and equipment as well as changes in the value of business inventories. In this case, a new computer system would be considered part of the business's equipment. Personal consumption expenditures are purchases made for ultimate consumption and do not include private industry. Government purchases include only purchases made by local, state, and federal governments. Net exports of goods and services is the difference between what one country buys from other countries and what it sells to other countries. August 9, 2024, from https://www.investopedia.com/terms/g/gdp.asp",Economics,4,easy
One way for a person to verify the reliability of an online article's information is by,asking others for their opinions.,evaluating the author's writing style.,comparing the information with other articles about the topic.,gathering internal reports from the company's database.,C,"Comparing the information with other articles about the topic. When other articles from reputable sources confirm the information from the original article, the information in the original article is more likely to be reliable. Evaluating the author's writing style, gathering internal reports from the company's database, and asking others for their opinions are not actions that will verify the reliability of the article's information. from https://classroom.synonym.com/determine-validity-research-article-5035804.html",Information Management,4,medium
Which of the following security measures is often found in hotels and resorts:,Property management system,Metal detectors,Electronic key cards,Radio frequency pocket tags,C,"Electronic key cards. These offer excellent security for hotel guests as they do not contain a hotel room number so that if one is lost or stolen it cannot be easily traced. Metal detectors are used in airports to check passengers entering boarding areas. Retailers use radio frequency identification tags, which are attached to expensive merchandise, to reduce the risk of shoplifting. A property management system is used to store information about reservations, room availability, and room rates. from https://www.getkisi.com/blog/how-do-hotel-key-cards-work",Operations,4,easy
"Ken is developing a web page for a new bed-and-breakfast inn. He wants to add information on the web page that describes local tourist attractions and restaurants. To allow website visitors the ability to visit these other websites from the bed-and breakfast inn's website, Ken should create",portals.,cookies.,hyperlinks.,a site map.,C,"Hyperlinks. A hyperlink is a component of an electronic document that can be clicked on to jump to another place within the document or into a different document. By linking the inn's website with the website of area attractions, the site visitor can immediately go to an attraction's website to obtain further information such as location, hours, services, etc. A portal is a popular starting point for surfing online (e.g., Yahoo!). Cookies are mechanisms used by websites to track usersâ€™ browsing histories. A site map is a flowchart that puts information on the web in a logical format, so that internet users can find what they are looking for. 9, 2024, from https://blog.hubspot.com/marketing/jump-link-same-page",Information Management,4,hard
"Hannah likes hanging out with her friend Tyler because Tyler is kind, considerate, friendly, and positive. In fact, when Hannah is around Tyler she feels more positive, too. Which step in the process of maintaining a positive attitude does this illustrate?",Stay healthy.,Surround yourself with positive people.,Think positively.,Realize that it won't happen overnight.,B,"Surround yourself with positive people. When Hannah feels more positive hanging out with Tyler, sheâ€™s illustrating the â€œsurround yourself with positive peopleâ€ step in the process of maintaining a positive attitude. By hanging out with a positive friend, she feeds her own optimism. Likewise, if she hangs out with a negative friend, her own attitude will suffer. Thinking positively, realizing it wonâ€™t happen overnight, and staying healthy are all steps in the process of maintaining a positive attitude, but they are not illustrated by Hannahâ€™s actions. 0",Emotional Intelligence,4,medium
A hotel restaurant might ask a vendor to send a sample of its table linens to evaluate the product's,benefits.,cost.,purpose.,quality.,D,"Quality. Many vendors are willing to provide samples of their products so that potential buyers can see, touch, and inspect the quality and durability of the items firsthand. Businesses do not need a product sample to evaluate the item's cost, purpose, or benefits. from https://www.amzignition.com/requesting-product-samples/",Product Management,5,easy
Nikolas always completes any tasks assigned to him and follows up with guests to ensure their satisfaction. What ethical principle does Nikolas demonstrate?,Trustworthiness,Honesty,Fairness,Respect,A,"Trustworthiness. Trustworthiness means being reliable and deserving of othersâ€™ confidence. When Nikolas completes tasks assigned to him and follows up with guests, he demonstrates trustworthiness because guests can confidently rely on him to get the job done. While fairness (making judgments without favoritism or selfinterest), honesty (truthfulness), and respect (regard or esteem) are all helpful ethical principles, they are not demonstrated in this example. integrity. Retrieved August 12, 2024, from https://holistiquetraining.com/en/news/ethics-in-hospitality",Professional Development,5,medium
Which of the following is a service that is offered by the travel and tourism industry:,Complimentary offers,Group arrangements,Health requirements,Familiarization trips,B,"Group arrangements. Many aspects of the travel and tourism industry offer group travel arrangements. This is considered a service because the travel agent or tour operator arranges the package for the group based on the group's requirements. For example, members of an organization might want to travel together to visit certain locations because the members are interested in specific cultural activities. Arranging this type of trip is a service of the travel and tourism industry. Familiarization trips are designed to introduce travel agents and tour operators to new facilities or destinations. Complimentary offers are promotional techniques designed to attract customers. The travel and tourism industry does not develop health requirements. pandemic). Retrieved August 12, 2024, from https://academy.wetravel.com/group-travel-tours",Product Management,5,easy
"Lachlan needs to arrive at a conference by Tuesday evening. If Lachlan flies out Tuesday morning, heâ€™ll save money on hotel costs. However, there is a risk that his flight will be delayed and he wonâ€™t make it in time. If Lachlanâ€™s company goes ahead and schedules the flight for Tuesday morning, how is the company handling that risk?",Retaining,Transferring,Avoiding,Preventing/Controlling,A,"Retaining. In some instances, businesses may keep, or retain, the risk involved in doing business. To put it simply, a business may do nothing to reduce or eliminate a risk. In this case, Lachlanâ€™s company is choosing to retain the risk that heâ€™ll arrive late to the conference by scheduling for him to fly Tuesday morning. Lachlanâ€™s company is not transferring, avoiding, or preventing/controlling the risk in this instance.",Economics,5,easy
The hospitality industry consists of __________ businesses.,"staffing, financial, and fine dining","lodging, mortgage, and transportation","entertainment, channel management, and real estate","entertainment, lodging, and food and beverage",D,"Entertainment, lodging, and food and beverage. The hospitality industry provides services to anyone who travels. The services that the hospitality industry provides include food and beverage (e.g., quick-serve restaurants, full-service restaurants which include fine dining), entertainment (e.g., sporting events, concerts), and lodging (e.g., hotel, motel, bed and breakfast inn). Mortgage, staffing, financial, channel management, and real estate fall under different industries. 2024, from https://www.staugustine.edu/2023/03/08/the-four-sectors-of-the-hospitality-industry/ 1",Professional Development,5,medium
Which of the following is part of closing a sale:,Establishing a buyer-seller relationship,Discovering the customer's needs/wants,Writing a follow-up message,Completing the necessary paperwork,D,"Completing the necessary paperwork. The sale is not completed until all the appropriate forms have been filled out accurately. Salespeople should establish a relationship with the customer at the beginning of a sale. Customer needs/wants should be discovered before the sales talk and demonstration begin. After a sale has been closed, a salesperson could write a follow-up message to the customer to reaffirm the buyer-seller relationship.",Selling,5,easy
"Every Monday morning, the service station owners in Freeland have breakfast and decide what price they will all charge for gasoline that week. They agree to charge the same price since there are no other service stations for many miles. Which piece of government legislation of competition are they violating?",Clayton Act,Robinson-Patman Act,Sherman Antitrust Act,Celler-Kefauver Antimerger Act,C,"Sherman Antitrust Act. The Sherman Antitrust Act prevents monopolies from forming and hinders price fixing (all businesses charging the same price). Since the business owners are agreeing to charge the same price, they are fixing their prices. The Clayton Act prevents specific business actions that might restrict competition, such as tying agreements. There are no tying agreements involved in this case. The Robinson-Patman Act prohibits price discrimination where all businesses purchasing similar amounts and types of products would be charged the same price. There is no price discrimination in this case. The Celler-Kefauver Antimerger Act protects competitors from takeovers if the acquisition would hinder competition. There is no takeover situation in this case.",Economics,5,medium
