Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Which of the following best describes a Roth IRA:,It gives you immediate tax benefits.,It ensures money grows tax-deferred.,It allows you to make after-tax contributions.,It allows you to make pre-tax contributions.,C,"It allows you to make after-tax contributions. A Roth IRA is an Individual Retirement Account in which you contribute after-tax dollars. This means that your money grows tax-free and you can generally make tax-free and penalty-free withdrawals after the age of 59 1/2. With a traditional IRA, you contribute pre-tax dollars, meaning you receive immediate tax benefits. Traditional IRAs grow your money tax-deferred, and withdrawals are taxed as current income after you turn 59 1/2. https://www.schwab.com/ira/roth-vs-traditional-ira",,2,easy
The federal government places a new tax on alcohol and tobacco products within its borders. The function of this tax is to,control imports.,limit business profits.,regulate business activity.,reduce liability.,C,"Regulate business activity. Governments tax certain products, such as alcohol and tobacco, to discourage consumers from buying them. These taxes have an impact on the businesses that produce and sell these products. Although business profit is taxed, the function of the tax is not to limit profit. Taxes do not reduce liability. Since these alcohol and tobacco products are within the country, they are not imports. PERSONAL FINANCIAL LITERACYâ€”KEY 4",,2,easy
Which of the following is a way to increase your credit score:,Increase your credit utilization,Apply for new accounts more often,Pay down revolving account balances,Close your oldest accounts,C,"Pay down revolving account balances. One way to increase your credit score is to pay down revolving account balances. A high balance on revolving credit accounts (such as credit card accounts) can lead to a high credit utilization rate, which hurts your credit score. Maintaining a low balance on a revolving credit account relative to their credit limits can improve your credit score. Decreasing your credit utilization, not increasing it, will help your score. Another way to improve your credit score is to limit how often you apply for new accounts. The more you apply for new credit accounts, the more likely a hard inquiry is done on your account, which can lower your credit score. The length of time you've had credit is another factor that can impact your credit score. The longer you've had credit, the better. Thus, to increase your credit score, you should not close your oldest accounts unless there is a compelling reason to do so. from https://www.experian.com/blogs/ask-experian/credit-education/improving-credit/improve-creditscore",,2,easy
Which of the following is typically a benefit of attending a community college:,It focuses on delivering a basic education.,It avoids overhead costs like meal plans and housing.,It has larger class sizes than a university.,It has a more competitive application process. PERSONAL FINANCIAL LITERACY 3,B,"It avoids overhead costs like meal plans and housing. One of the biggest benefits of a community college is that it is cheaper than a traditional college or university. Depending on the college or university, the cost difference between community college and a traditional four-year institution can be significant. By attending community college, students also typically skip out on overhead costs like meal plans and housing. Other benefits of community college are that it has an easier application process (not a more competitive one), smaller class sizes than a university, transferable credits, and flexible schedules. A con of community college is that the focus is on delivering a basic education, career certificates, and associate degrees. Although some community colleges offer four-year bachelor's degrees, many students that want to earn a bachelor's degree need to attend a four-year university after completing their program at community college. February 5, 2024, from https://mwcc.edu/blog/community-college-vs-university",,2,easy
"Wren is enrolled in __________, which provides health care coverage for specific groups, including pregnant people with low income and children of low-income families.",Medicaid,Life insurance,Outpatient services,Medicare,A,"Medicaid. Medicaid provides health care coverage for specific groups of people, including pregnant people with low income, children of low-income families, and parents or caregivers with low income. In general, Medicare is for people who are 65 years or older and individuals with disabilities. Life insurance pays a designated amount upon the death of an insured person. Outpatient services refer to anything that doesnâ€™t require hospitalization. from https://www.uhc.com/communityplan/medicaid/what-is-medicaid",,2,easy
When would a person select term life insurance instead of whole life insurance?,They want long-term coverage.,They want coverage for a specific time period.,They want insurance that builds cash value.,They want to pay higher premiums.,B,"They want coverage for a specific time period. Term life insurance provides coverage for a set amount of time, typically 10, 20, or 30 years. Whole life insurance provides coverage for an entire lifetime, builds guaranteed cash value over time, and costs more than term life insurance. February 2, 2024, from https://www.nerdwallet.com/article/insurance/term-vs-whole-life-insurance PERSONAL FINANCIAL LITERACYâ€”KEY 5",,2,easy
"When inflation occurs, the __________ of consumers is reduced.",retirement contributions,decision-making abilities,interest rates,purchasing power,D,"Purchasing power. A steady rise in the general price levels of goods and services over time is known as inflation. When inflation occurs, the purchasing power of the dollar is reduced. In other words, your money wonâ€™t buy as much tomorrow as it will today. Inflation does not necessarily lead to reduced retirement contributions, decision-making abilities, or interest rates.",,2,easy
Which of the following individuals would be eligible for workersâ€™ compensation:,Eliana twists her ankle at a company picnic.,Dusten falls off a forklift in the warehouse.,Betsy is in a car accident on her way to work.,Roberto slips on ice outside his house.,B,"Dusten falls off a forklift in the warehouse. Workersâ€™ compensation covers accidents and injuries that occur during the scope of work. Dusten falling off a forklift in the warehouse occurred during his regularly scheduled duties. Workersâ€™ compensation does not cover incidents that happen on the way to work, so Betsy would not be covered. Roberto slipping on ice is unrelated to work, so he wouldnâ€™t be covered either. Workersâ€™ compensation does not cover recreational activities like company picnics or holiday parties, so Elianaâ€™s injury wouldnâ€™t be covered. compensation? Retrieved February 5, 2024, from https://www.askadamskutner.com/workerscompensation/not-covered-by-workers-compensation/",,2,medium
Kendra sells her shares in an electronics company after an employee informs her that the firm would be receiving government sanctions. This is an example of,investing.,accounting.,insider trading.,embezzlement.,C,"Insider trading. Insider trading refers to the buying or selling of a public company's stock or other securities by someone who has material nonpublic information about the stock. Insider trading is illegal when the material information is not public. Because Kendra obtained material nonpublic information about the company she invested in, she committed insider trading. Embezzlement is the theft of business resources that have been entrusted to oneâ€™s care. Investing is building wealth by using money to make money. Accounting is the process of keeping and interpreting financial records. 2024, from https://www.investopedia.com/terms/i/insidertrading.asp",,2,medium
"If a business owns the building in which it operates, it must pay __________ to the government.",fines,rental fees,property taxes,tariffs,C,"Property taxes. Businesses that own buildings and land must pay property taxes to the government at specific intervals. The property-tax amount is based on the value of the land and building. Since the business owns the building, it would not have to pay rent. Tariffs are taxes on imported goods and not related to property ownership. Fines are monetary penalties that businesses must pay.",,2,medium
Anita has just started her own small business. Any profits she earns will be subject to __________ taxes.,sales,income,excise,payroll PERSONAL FINANCIAL LITERACY 4,B,"Income. Income taxes are a portion of an individual's or business's earnings owed to the government. Any business profits will be taxed by income taxes. A payroll tax is a tax on employment, paid by both employers and employees. Sales tax is a tax on retail purchases. Excise taxes are taxes on products such as gasoline and alcohol; they are built into the productâ€™s overall price. PERSONAL FINANCIAL LITERACYâ€”KEY 6",,3,medium
Which of the following investments has the highest amount of risk:,Bonds,Real estate,Stock mutual funds,Collectibles,D,"Collectibles. Collectibles are items that gain or lose value over time. Collectibles can include antiques, gems, stamps, dolls, and sports memorabilia. Collectibles have high risk because you might not be able to sell the item at allâ€”let alone for more money than youâ€™ve paid for it. You have to be sure the item is important to other people, not just you. And, you have to be sure that the item will be more important to other people in the future. Itâ€™s impossible to be absolutely certain of either one of these two things. Real estate and mutual funds are considered moderate risk. Real estate is an ownership investment in which individuals purchase property in buildings and land. Mutual funds are ownership investments in which a variety of stocks from different corporations or agencies (usually from different industries) are combined into one investment. Bonds (lending investments in which individuals lend money to a government, municipality, or corporation to earn a set rate of interest for a specified time period) are considered low risk.",,3,easy
Lenders charge higher interest rates on unsecured loans than on secured loans because unsecured loans,are based on the borrower's creditworthiness.,have lower monthly payments than secured loans.,have collateral backing.,pose less risk to the lender.,A,"Are based on the borrower's creditworthiness. An unsecured loan is an amount of money borrowed by an individual or a business simply by signing a promissory note promising to repay the loan. Because of this, unsecured loans are based on the borrower's creditworthiness and promise to repay, making it a bigger risk to the lender than secured loans. A secured loan is a type of loan in which the borrower pledges to the lender some valuable possession as collateral, or security, to guarantee that the loan will be repaid. Secured loans have collateral backing, whereas unsecured loans do not. Because interest rates are typically lower on secured loans, the monthly payments can be slightly lower than those of unsecured loans. Retrieved February 5, 2024, from https://www.investopedia.com/ask/answers/110614/whatdifference-between-secured-and-unsecured-debts.asp",,3,easy
"Before selecting investments, Jasper asks himself how long he plans to stay invested. This is known as Jasperâ€™s",liquidity need.,risk tolerance.,level of competition.,time horizon.,D,"Time horizon. By asking himself how long he plans to stay invested, Jasper is considering his time horizon. The longer he invests his money, the more time Jasperâ€™s money has to grow. Risk tolerance is a measure of how much risk an investor is willing to accept in exchange for potentially high returns. Liquidity is the ability to be converted into cash. Level of competition is not related to the length of time for staying invested. 2024, from https://www.fidelity.com/learning-center/smart-money/how-to-pick-investments",,3,easy
"To make an informed consumer decision, you should conduct research and consult __________ sources of information.",professional,persuasive,reliable,digital,C,"Reliable. If you need more information to make an informed consumer decision, conduct some research. Review reliable sources of information. If you are buying a new computer, for instance, Dellâ€™s online store and the Apple store can both provide detailed information about their products. However, other sources that evaluate both types of products, such as a consumer guide, may offer more unbiased reviews. Professional and persuasive sources of information are not always unbiased. Solid sources of information do not always have to be digitalâ€”itâ€™s also a good idea to consult with other people who have knowledge or experience. PERSONAL FINANCIAL LITERACYâ€”KEY 7",,3,medium
Michael has just retired from his longtime job. His company has provided him a retirement fund that has been paid into for the duration of his career. This fund is paid for completely by his company and is paid out at a fixed monthly rate. Michael has received a,private checking account.,pension.,401(k).,college savings account.,B,"Pension. A pension is a retirement fund that has been paid into by an employer. Pensions offer a fixed monthly payment upon retirement. A 401(k) is paid into by both the employee and employer, and is less stable than a pension. A college savings account, which is an investment vehicle used to save funds for college, is not a source of retirement income. A private checking account is typically not provided by a company and is not a source of retirement income. https://www.finra.org/investors/learn-to-invest/types-investments/retirement/managing-retirementincome/sources-retirement-income",,3,medium
"When using mobile payment apps such as Venmo, Apple Pay, and PayPal, it is important to",collect at least $100 before transferring to your bank.,use them the same way you use your checking account.,keep money in your app to gain interest.,regularly transfer money in your app to your bank.,D,"Regularly transfer money in your app to your bank. When using mobile payment apps such as Venmo, Apple Pay, and PayPal, it is important to regularly transfer money in your app to your bank. Rather than allowing the money you have in the app to stay in the app, you should transfer those funds back to your account at a bank or a credit union as soon as possible. Funds in these apps aren't insured while in the app, and these apps do not offer the same protections on funds that banks or credit unions do. Money in a mobile payment app does not gain interest. If you're looking to gain interest on those funds, you should transfer them to a savings account. You should not use these apps the same way you use your checking account. store cash. Retrieved February 6, 2024, from https://www.dupaco.com/2023/09/01/why-you-shouldstop-using-payment-apps-to-store-cash",,3,easy
Gale would like to invest in a lower risk mutual fund. What type of mutual fund should he put money into?,Equity fund,Hybrid fund,Money market fund,Stock fund PERSONAL FINANCIAL LITERACY 5,C,"Money market fund. A money market fund is a pool of shareholders' money that is invested in securities over a short amount of time. They are low risk because of the short time frame. A stock fund, also known as an equity fund, is a pool of shareholders' money invested in different types of stocks. Because stock markets can be volatile, stock funds also carry greater risk. A hybrid fund, which is a mixture of stocks and bonds, is lower risk because of the diversification of the fund. However, it still carries some risk due to persistent volatility in the stock market. from https://www.thebalance.com/the-three-general-types-of-mutual-funds-3025628",,3,medium
Which of the following best describes a private student loan:,It is funded by the federal government.,It typically requires payments while still in school.,It doesn't require payment until after graduation.,It can be consolidated into a Direct Consolidation Loan.,B,"It typically requires payments while still in school. A private student loan is a nonfederal loan made by a lender, such as a bank, credit union, school, or state agency. A federal student loan is a loan that is funded by the federal government. Where private loans typically require payments while the student is still in school, federal student loans aren't due until after graduation. Federal student loans can be consolidated into a Direct Consolidation Loan, whereas private student loans cannot. from https://studentaid.gov/understand-aid/types/loans/federal-vs-private PERSONAL FINANCIAL LITERACYâ€”KEY 8",,3,easy
"Even though Neilâ€™s paycheck came through today, it isnâ€™t enough to pay off both his credit card debt and his student loan. To be fiscally responsible and avoid paying as much interest as possible, should Neil pay off his credit card debt or make a student loan payment?","His student loan, because it'll strengthen his credit score more than paying the credit card will.","His credit card, because credit cards usually have higher interest rates than student loans.","His credit card, because student loans typically don't have interest rates.","His student loan, because student loans commonly have higher interest rates than credit cards.",B,"His credit card, because credit cards usually have higher interest rates than student loans. In this scenario, Neil should pay off his credit card debt first because interest rates on credit cards are higher than on loans. Although student loans typically have interest rates, they are not as high as the interest rates for credit cards. If Neil prioritizes paying off his credit card, he'll save money on interest and potentially improve his credit score. Paying down credit card debt decreases credit utilization, which is one of the biggest contributing factors to credit scores. Although paying loans on time will also strengthen Neil's credit, it won't strengthen it as much as paying down his credit card debt. 2024, from https://www.experian.com/blogs/ask-experian/should-i-pay-off-credit-card-or-loan-debtfirst",,3,hard
Individuals often authorize __________ to help manage their financial assets.,economists,therapists,marketers,fiduciaries,D,"Fiduciaries. Individuals often authorize fiduciaries to help manage financial assets. The fiduciary is responsible for caring for another person's assets and making the decisions regarding an individual's assets. An example of a fiduciary would be a trusted financial advisor such as an accountant, attorney, or insurance agent. An economist is a person who studies how countries and individuals make economic decisions. Therapists can help individuals understand and cope with emotional problems and skills, but they are not used for financial decisions. Marketers create and communicate value to customers about products and services. 8, 2024, from https://www.cl-law.com/news-events/choosing-fiduciaries-to-handle-your-estate",,4,medium
Business and worker production is likely to decrease during an economic,upturn.,peak.,recession.,expansion.,C,"Recession. A recession is a periodic economic contraction during which trade and economic activity are reduced, usually identified by a fall in GDP for at least two successive quarters. Expansions are periods of time in the business cycle when production and employment increase, leading to a peak, which is the top of the business cycle. An economic upturn would involve increased production, not decreased.",,4,easy
"Zion is enrolled in long-term disability insurance, but he must wait 30 days from the date of his disabling event before receiving benefits. What is this waiting time called?",Affiliation time,Reservation,Validation cycle,Elimination period,D,"Elimination period. For short- and long-term disability insurance, there is an elimination period, also called a waiting or qualifying period, which is the amount of time an individual needs to wait before receiving benefits. These periods range from seven days for short-term disability and from 30 days to two years for long-term disability. Affiliation time, reservation, and validation cycle are not common terms in disability insurance. February 5, 2024, from https://www.policygenius.com/disability-insurance/disability-insuranceelimination-periods/",,4,medium
Managers can motivate employees to be more productive by,developing automated systems.,ignoring employee feedback.,standardizing tasks.,offering flexible work hours.,D,"Offering flexible work hours. Offering flexible work hours will give employees more control over their work schedules and allow them to maintain a healthier work-life balance. This will improve morale and productivity. Some businesses develop automated systems and find ways to standardize tasks to increase productivity, but these factors are not related to motivating employees. Employees who feel that their feedback has been taken seriously are more likely to be more motivated; therefore, ignoring their feedback will not improve productivity. PERSONAL FINANCIAL LITERACYâ€”KEY 9",,4,easy
Pre-purchase research can help limit impulse buying because it places you in a(n) __________ rather than __________ state.,decisive; indecisive,emotional; logical,indecisive; decisive,logical; emotional PERSONAL FINANCIAL LITERACY 6,D,"Logical; emotional. Impulse buying involves making an on-the-spot purchasing decision. Impulse buying often results from your physical and emotional condition. When people are sick, tired, or hungry, they often make impulsive, emotional decisions because they donâ€™t have the willpower or energy to think carefully or logically. Conducting research before making a purchase can help you think logically and make a purchasing decision that makes most sense for you, rather than one based on emotion. Research does not necessarily make you more or less decisive. 5, 2023, from https://www.capitalone.com/learn-grow/money-management/impulse-buying/",,4,medium
The first step of applying for student loans is to,compare financial aid offers.,complete the FAFSA.,consider private loans.,choose your school.,B,"Complete the FAFSA. The first step in applying for student loans is to complete the FAFSA, or the government's Free Application for Federal Student Aid. Once the FAFSA is complete, the financial aid offices at colleges you've applied to will use the information from your FAFSA to determine how much aid to make available to you. This is done by subtracting your estimated family contribution from the school's cost of attendance (which includes tuition, room and board, etc.). Once schools offer you their aid packages, it is important to compare them. If you need to borrow more money than federal student loans can provide, then you will consider private loans from a bank, credit union, or another financial institution. Once you do all of this, then the final step is to choose your school. from https://www.investopedia.com/articles/personal-finance/091515/beginners-guide-studentloans.asp",,4,easy
Which of the following is a drawback of investing:,There isnâ€™t a learning curve.,"Returns are low, so you might lose purchasing power over time.",Investing products are usually very liquid.,Returns are not guaranteed.,D,"Returns are not guaranteed. One drawback of investing is that returns arenâ€™t guaranteed, and investors typically lose money in the short term. A benefit of investing is that investing products like stocks, bonds, and ETFs can be converted into cash easily, or are very liquid. There is a learning curve when it comes to investing, and you will likely need to research beforehand. Low returns and losing purchasing power over time is a drawback of saving. Retrieved February 5, 2024, from https://www.bankrate.com/investing/saving-vs-investing/",,4,easy
Which of the following is an advantage of investing in bonds:,They are insured by the FDIC.,You can access your money whenever you want.,They offer high rates of return.,They are very low risk.,D,"They are very low risk. Bonds are offered by a government, municipality, or corporation at a set interest rate for a particular time period. Bonds are very low-risk investments. In general, bonds are considered to be guaranteed money. However, you cannot access your money whenever you want, and they arenâ€™t FDICinsured. Because bonds are low risk, they donâ€™t offer high rates of return. PERSONAL FINANCIAL LITERACYâ€”KEY 10",,4,easy
"When donating to charity, itâ€™s important to visit each organizationâ€™s website. The organization should demonstrate __________ by providing information about its mission, financials, and impact.",transparency,fairness,respect,pride,A,"Transparency. One of the first steps of charitable giving is to conduct research on the intended organization. Part of this research should involve visiting the organizationâ€™s website to make sure youâ€™re making the impact you intend to. Reputable organizations should be transparentâ€”the quality of being trustworthy and just as one seemsâ€”by providing information about their mission, values, financials, programs, impact, and more. Respect involves honoring the rights, freedoms, views, and property of others. Fairness is the ability to make judgments and act without favoritism or self-interest. Pride is a feeling of satisfaction from oneâ€™s own accomplishments. support. Retrieved February 5, 2024, from https://spmcf.org/blog/nonprofit-giving-research-tips",,4,hard
Subsidized loans are different than unsubsidized loans because unsubsidized loans,do not require students to demonstrate financial need.,typically offer lower loan limits than subsidized loans.,are only available to undergraduate students with financial need.,do not accrue interest until the student leaves school.,A,"Do not require students to demonstrate financial need. Federal direct loans can be subsidized or unsubsidized. While both types of loans offer flexible repayment options, the option to consolidate, low interest rates, and forbearance and deferment options, there are some key differences between the two. Namely, subsidized loans are based on the borrower's financial needs, whereas unsubsidized loans do not require students to demonstrate financial need. Subsidized loans are only available to undergraduate students with financial need, while unsubsidized loans are available to both undergraduate and graduate students. With subsidized loans, interest doesn't accrue until the student leaves school. Interest accrues from the time of disbursement with unsubsidized loans. Subsidized loans typically offer lower loan limits than unsubsidized loans. February 5, 2024, from https://www.investopedia.com/personal-finance/federal-direct-loanssubsidized-vs-unsubsidized",,4,medium
There is a significant difference between the value of Mayimâ€™s car and the amount she owes on it. Mayim should purchase __________ to protect herself from the carâ€™s depreciation.,roadside assistance,gap insurance,liability insurance,uninsured motorist coverage,B,"Gap insurance. Gap insurance covers the difference between the value of Mayimâ€™s car and the amount she still owes on her loan. A carâ€™s value starts to decrease after itâ€™s purchased, which is known as depreciation. Gap insurance covers the difference and will help Mayim recover a greater value if her car is stolen or totaled. While uninsured motorist coverage, liability insurance, and roadside assistance are useful forms of insurance, they would not help protect Mayim from the depreciation of her car. from https://www.progressive.com/answers/gap-insurance/",,5,hard
"If your landlordâ€™s apartment building burns down, what type of insurance would cover your personal belongings?",Flood insurance,Property insurance,Renterâ€™s insurance,Homeownerâ€™s insurance PERSONAL FINANCIAL LITERACY 7,C,"Renterâ€™s insurance. If your apartment burns down, renterâ€™s insurance would cover your personal property. Your landlordâ€™s property insurance only covers losses to the building itself, not your personal belongings. Flood insurance would not be particularly helpful in case of an apartment fire. Homeownerâ€™s insurance would apply if you owned the apartment instead of renting it. from https://www.investopedia.com/articles/personal-finance/082714/6-good-reasons-get-rentersinsurance.asp PERSONAL FINANCIAL LITERACYâ€”KEY 11",,5,easy
What is the best way to protect against identity theft?,Asking the post office to hold your mail while youâ€™re on vacation,Sharing private information with friends and family on social media,Reusing the same password across multiple platforms,Keeping your Social Security card in your purse or wallet for easy access,A,"Asking the post office to hold your mail while youâ€™re on vacation. While itâ€™s not always possible to completely protect yourself from identity thieves, there are several practices that can help keep your information safe. Reviewing your financial statements regularly and asking the post office to hold your mail while youâ€™re on vacation are two methods. Reusing the same password across platforms makes it easy for people to hack into your accounts. Social media isnâ€™t private, so you should avoid oversharing online. Purses and wallets can be stolen, so itâ€™s best to keep your Social Security card in a safe place at home. from https://www.equifax.com/personal/education/identity-theft/articles/-/learn/how-to-protectagainst-identity-theft/",,5,easy
"If Antonio wants to follow the ""pay yourself first"" method, what should he do when he receives his paycheck?",Buy himself the gaming system he wants,Set aside money for his savings account,Pay his monthly rent,Make a payment on his car,B,"Set aside money for his savings account. The ""pay yourself first"" method encourages setting aside money for things like savings and retirement before paying bills and making other purchases. So if Antonio wants to follow the ""pay yourself first"" method, he will transfer some of his check to his savings account before paying his rent and making a payment on his car. It is important to note that Antonio should still keep up with his debt obligations. After he puts some money into his savings, he should make sure he has enough left over to pay his debts (rent, car, credit card, loans, etc.). Antonio should buy himself a gaming system only if he can afford it after moving some money to his savings and paying off his debt. February 7, 2024, from https://www.capitalone.com/learn-grow/money-management/pay-yourselffirst",,5,easy
A key difference between value stocks and growth stocks is that growth stocks,are relatively stable with low volatility.,are priced higher than the broader market.,tend to be undervalued.,have high dividend yields.,B,"Are priced higher than the broader market. Growth stocks are stocks of companies that have high potential to outperform the overall market over time due to their future potential. Value stocks are stocks currently trading below what they are really worth, meaning they will provide a superior return. Growth stocks are typically overvalued, meaning they are priced higher than the broader market. Value stocks tend to be undervalued, meaning they are priced lower than the broader market. Growth stocks are high risk with more volatility, while value stocks are relatively stable with low volatility. Growth stocks have low or no dividend yields, while value stocks have high dividend yields. from https://www.investopedia.com/articles/professionals/072415/value-or-growth-stocks-whichbest.asp#toc-value-vs-growth-stocks-key-differences",,5,easy
High or unexpected inflation can,discourage people from investing.,lead to higher wages for employees.,increase overall consumer spending.,encourage people to save.,A,"Discourage people from investing. Inflation is a steady increase in the general price levels of consumer goods and services over a period of time. Inflation isn't a bad thing for the economy, but high or unexpected inflation can be. High or unexpected inflation can discourage people from saving or investing, decrease overall consumer spending, reduce the standard of living, and even cause shortages of goods. In addition, if inflation is too high or unexpected, it may be difficult for companies to increase employeesâ€™ wages quickly enough to keep pace. When wage increases canâ€™t keep up with price increases, consumer spending will go down, potentially stalling the economy. Encouraging people to save, increasing overall consumer spending, and leading to higher wages for employees are not typical results of high or unexpected inflation. PERSONAL FINANCIAL LITERACYâ€”KEY 12",,5,easy
