Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Which of the following is an impact of implementing an effective customer profile system into a marketing and sales campaign:,It leads to better customer service.,It creates a broader customer base.,It increases the price of a campaign.,It increases the company's churn rate.,A,"It leads to better customer service. Customer profiling is the process of identifying a business's most likely or ideal customer through the use of demographic, psychographic, attitudinal, and behavioral information. If a business implements an effective customer profiling system, it leads to better customer service. By documenting customers' characteristics, a company will be able to predict issues before they come up, offer useful self-help resources, and better align with customer needs if they reach out to the business's service team. Instead of increasing the price of a campaign, it will lower it. The more specific the customer, the less money a business will spend. Rather than making the customer base broader, customer profiling focuses on identifying the specific buyers that'll actually buy a product, which is more valuable than targeting everyone. Customer profiling reduces a company's churn rate (a company's loss in customers for a given period of time) because it focuses on reaching customers that will actually use a business's product in both the short term and long term. 20, 2024, from https://blog.hubspot.com/service/customer-profiling",Market Planning,2,easy
Which of the following equations should employees know when they are verifying the accuracy of a business's balance sheet:,Owner's Equity = Available Cash - Liabilities,Assets = Owner's Equity - Liabilities,Owner's Equity = Liabilities + Available Cash,Assets = Liabilities + Owner's Equity,D,"Assets = Liabilities + Owner's Equity. A balance sheet is a financial statement that captures the financial condition of the business at that particular moment. Three main elements are included on the balance sheetâ€” assets, liabilities, and owner's equity. Available cash is one part of the business's total assets. If the assets do not equal the liabilities when the liabilities are added to the owner's equity (Assets = Liabilities + Owner's Equity), information on the balance sheet is incorrect. from https://corporatefinanceinstitute.com/resources/accounting/balance-sheet/",Financial Analysis,2,easy
"If a judge determines that two individuals are not qualified to enter into a contract with one another, which basic contractual element is missing?",Consideration,Capacity,Legality,Agreement,B,"Capacity. The parties entering into a contract must have the mental capacity to understand what they are agreeing to. Children and adolescents under 18, for example, are typically not mature enough to understand a contract, so they typically do not have the legal capacity to enter into a contract. Instead, an adult may have to sign the contract on their behalf. The consideration element requires that both parties get something out of the deal. The agreement element requires that all parties agree to the deal. The legality element requires that the purpose of the contract falls within the law. from https://www.law.cornell.edu/wex/capacity ENTREPRENEURSHIP EXAMâ€”KEY 5",Business Law,2,medium
An independent organization using part of its website to share comments from satisfied Publix grocery shoppers is an example of which element of the promotional mix?,Sales promotion,Publicity,Advertising,Personal selling,B,"Publicity. Publicity is any nonpersonal presentation of ideas, goods, or services that is not paid for by the company or individual which benefits from or is harmed by it. Publix is not paying for the website but is benefitting from the site that posts positive comments from satisfied customers. People who access the site will read the comments and may decide to shop at Publix. Advertising is a paid form of promotion. Personal selling involves interaction between a salesperson and a client. Sales promotion activities are promotional activities other than advertising, personal selling, and publicity. from https://www.indeed.com/career-advice/career-development/example-of-publicity",Promotion,2,medium
Which of the following are considered the owners of a corporation:,Lower level employees,Managers,Stockholders,CEOs,C,"Stockholders. Stockholders are the owners of a corporation. Therefore, their interests are an important factor in corporate governance. Managers, CEOs, and lower level employees are not considered the owner(s) of a corporation. 2024, from https://www.shopify.com/blog/what-is-a-corporation",Professional Development,2,medium
Why do many businesses use dashboards?,To develop new software programs,To gather information for databases,To maintain security of the systems,To track key performance indicators,D,"To track key performance indicators. Dashboards are computer-generated, custom-designed reports that indicate in graphic form the overall condition of a business. They present a set of key performance indicators that, when viewed together, give a snapshot of the health of the company. Managers use dashboards to track the key performance indicators and identify potential problems so they can make adjustments before any harm is done. The information in company databases is used to generate dashboards. Dashboards are not used to maintain the security of the systems or to develop new software programs. from https://www.tableau.com/learn/articles/dashboards/what-is",Strategic Management,2,medium
One reason why a business might terminate an employee for cause is if the employee,refuses a promotion.,is a whistle-blower.,jeopardizes coworkers.,needs additional training.,C,"Jeopardizes coworkers. Termination for cause occurs when an employee's conduct seriously violates company policies or jeopardizes the company or other employees. An example is an employee who harasses others or who threatens others. This person is creating an environment at work that may be harmful or dangerous to coworkers. As a result, the business has a legitimate cause to terminate the employee. It is usually illegal to fire an employee for being a whistle-blower. Businesses usually do not terminate employees for refusing promotions or those who need additional training. Businesses usually provide training when necessary so employees can perform as expected. https://www.thehartford.com/business-insurance/strategy/employee-termination/valid-reasons",Human Resources Management,3,easy
A well-documented work process contributes to an efficient operating system because it,is easier to teach to new employees.,has been streamlined to limit waste.,can lead to extra paperwork.,creates the maximum amount of value.,A,"Is easier to teach to new employees. A work process that has been well documented should require less time to teach, and training is less dependent on the presence of an experienced worker. The existence of this documentation should not lead to extra paperwork. The level of documentation for a work process has no bearing on whether the process has been streamlined to limit waste or has been maximized for value creation. August 16, 2024, from https://slack.com/blog/collaboration/process-documentation ENTREPRENEURSHIP EXAMâ€”KEY 6",Operations,3,medium
"When customers buy on credit, the money owed to the business by the customers is part of the business's",accounts payable.,cash receipts.,current liabilities.,accounts receivable.,D,"Accounts receivable. Accounts receivable are monies owed to a business by its customers. Whenever a customer makes a credit purchase, they owe the business or the credit card company a debt. Cash receipts are income in the form of currency or coins. Current liabilities are debts that must be paid within a year. Accounts payable are debts owed by the business.",Financial Analysis,3,easy
What approach to sales forecasting is being used by a business that starts the process by making forecasts for individual products or product lines?,Sales quota,Bottom-up,Trading area,Top-down,B,"Bottom-up. The bottom-up, or build-up, approach involves starting the sales forecast process by gathering individual forecasts which may be combined, or built up, into a forecast for the entire company. This approach is the opposite of the top-down approach which involves starting the sales forecasting process by preparing an overall forecast for the entire company. A trading area is the territory in which a firm conducts business. A sales quota is a specific selling goal set for a member of the sales force. from https://corporatefinanceinstitute.com/resources/financial-modeling/bottom-up-forecasting/",Financial Analysis,3,medium
"When Henry makes a mistake at work, he considers blaming one of his coworkers. His sense of __________ lets him know that he is facing an ethical dilemma.",viability,rule of law,disrespect,accountability,D,"Accountability. People who are accountable for their actions accept responsibility for all their decisions. This means accepting blame for mistakes, rather than shifting blame onto others. Rule of law entails respecting the rules and laws of your city and country. Viability means ensuring that your actions are helpful in the long term, not just the short term. Disrespect would not help Henry know he is facing an ethical dilemma.",Emotional Intelligence,3,easy
An entrepreneur who acts with honesty and integrity in all their business relationships is likely to,experience more competition.,increase their expenses.,develop a positive reputation.,avoid ethical dilemmas.,C,"Develop a positive reputation. An entrepreneur who is known to deal honestly with customers, clients, and vendors is likely to enjoy a good reputation. Acting with honesty and integrity does not necessarily increase expenses. An honest entrepreneur still faces ethical dilemmas that they have to deal with. Dealing honestly with others is not likely to increase competition. 16, 2024, from https://meridianuniversity.edu/content/the-crucial-role-of-ethics-in-entrepreneurship",Entrepreneurship,3,medium
Gross profit shows business owners the difference between what they've,spent and received.,received and billed.,estimated and invoiced.,paid and risked.,A,"Spent and received. Gross profit shows business owners the difference between what theyâ€™ve spent and received. It does not show the difference between what theyâ€™ve paid and risked, received and billed, or estimated and invoiced. Money paid is an expense, while money risked is an investment. There is no applicable term for the difference between the two. In a firmâ€™s accounting department, money received is compared to the money billed. If receivables donâ€™t match billings, the accounting department must figure out why. Accounting departments also handle invoicing for work completed. Estimates are guesses given before work takes place. ENTREPRENEURSHIP EXAMâ€”KEY 7",Economics,3,easy
Which of the following is an example of a financial risk associated with new ventures:,Unemployment,Inflation,Competition,Failing industry,B,"Inflation. Entrepreneurs typically face several types of risks whenever they start a new venture, including financial risks. Financial risks they might face include inflation, loss of capital, uncertain income, economic downturns, and even bankruptcy, among others. Competition is typically categorized as a market or competitive risk. Failing industry is categorized as an industry risk. Unemployment is a career risk. from https://www.investopedia.com/ask/answers/040615/what-risks-does-entrepreneur-face.asp",Entrepreneurship,3,easy
The costs required to register a new business are also known as,research expenses.,incorporation fees.,inventory expenses.,establishment fees.,B,"Incorporation fees. One of the first steps in starting a business is paying incorporation fees to officially register that business and define its structure. Research expenses are the costs that come with conducting research on the market in which a new business is entering. Inventory expenses are operational costs that are associated with managing a businessâ€™s inventory, or the stock a business has on hand. Establishment fees is a fictitious term. Retrieved August 16, 2024, from https://www.forbes.com/advisor/business-loans/business-startupcosts/",Entrepreneurship,3,easy
Obtaining a line of goods for use in a business is one of the functions of,organizing.,selling.,purchasing.,controlling.,C,"Purchasing. The main function of purchasing is to obtain goods and services for use in the business. Selling is a marketing function which involves determining consumer needs and wants, and responding through planned, personalized communication that influences purchase decisions and enhances future business opportunities. Controlling is the management function that monitors the work effort. Organizing is setting up the way the business's work will be done.",Operations,3,easy
What is the exchange price of a product?,The price of goods that changes according to economic conditions,The price at which the seller is able to cover costs,The price to the buyer after the seller deducts discounts and allowances,The price that the buyer is willing to pay and the seller is willing to accept,D,The price that the buyer is willing to pay and the seller is willing to accept. Both buyers and sellers must feel that they are receiving optimum value from the product. The price at which the seller is able to cover costs is the break-even point. The price to the buyer after the seller deducts discounts and allowances is the net price. A price that changes according to economic conditions is a flexible price.,Pricing,4,easy
An example of an operating expense that is included in a business's income statement is,purchases.,allowances.,commissions.,inventory.,C,"Commissions. Commission is a percentage of the total sale amount paid to the individual who makes the sale. Many businesses pay a commission to salespeople, which is part of their salary. Salaries and wages are operating expenses that are listed in a business's income statement. Purchases and value of inventory are included in the cost of merchandise sold category of an income statement. Allowances are deductions that are indicated in the revenue category of an income statement. https://www.thebalance.com/operating-expense-on-the-income-statement-357586 ENTREPRENEURSHIP EXAMâ€”KEY 8",Financial Analysis,4,easy
"Kenneth owns a company that sells designer dog collars, harnesses, and leashes. He sends a weekly email to current and prospective customers that includes product information and general tips for animal safety. What type of public relations tool is Kenneth using to connect with his target market?",A newsletter,A press conference,A media tour,A press release,A,"A newsletter. Email newsletters are good ways for a business to communicate with its target market in a professional and controlled way. Businesses use newsletters to give current and prospective customers product information, a listing of distributors, or even an inside look at how the business operates. A press release is written information given to media to obtain publicity. A media tour is a way to get publicity that entails inviting media to a business to show how a business works. A media tour is especially useful if a business is undergoing a significant change. A press conference is a meeting to which a business or group invites members of the media in order to make an announcement. 2024, from https://www.ethos-marketing.com/blog/e-newsletter-great-pr-tool/",Promotion,4,medium
"Kwame runs an organic meal delivery service. He wants his customers to be able to depend on him to consistently deliver high-quality, healthy food that will simplify their busy lives. This is his company's",company promise.,brand promise.,brand point.,touchpoint.,B,"Brand promise. A brand promise is a business's agreement (spoken or unspoken) with its customers that it will consistently meet their expectations and deliver on its characteristics and values. Kwame promises his customers that he will deliver the quality of food and service that they expect. Touchpoints are all the opportunities that businesses have to connect with customers and reinforce their brand value. Company promise and brand point are not terms commonly used to describe the situation illustrated in the question. August 16, 2024, from https://hingemarketing.com/blog/story/elements-of-a-successful-brand-4brand-promise1",Customer Relations,4,easy
"When analyzing market potential, a business must consider the market's interest level in the product and the market's",profitability standards.,competence and reliability.,ability to buy.,personal goals.,C,"Ability to buy. A market analysis is a study of a particular market segment. A business conducts a market analysis to determine if a market is willing and able to purchase the business's products. If the business determines that the market has a significant interest in or need for a product, has the money to buy the product, and has accessibility to the product, the business may decide to produce and distribute its products to the market. The business, rather than the market, considers profitability. Realistically, a business does not usually have the ability to consider each market member's level of competence, reliability, or personal goals, especially if the target market is very large. 2024, from https://coara.co/blog/market-potential-analysis",Market Planning,4,easy
"In a business, who is typically responsible for determining how much money a CEO should make?",The previous CEO,The board of directors,The vice president,All the employees,B,"The board of directors. A company's board of directors governs its affairs and ensures that shareholders' needs are met. One of the responsibilities of a board of directors is to be responsible for hiring and compensating a company's CEO. The previous CEO, all the employees, and the vice president are not in charge of determining how much money a CEO will make. from https://www.investopedia.com/managing-wealth/guide-ceo-compensation/ ENTREPRENEURSHIP EXAMâ€”KEY 9",Professional Development,4,medium
Which of the following processes helps aspiring entrepreneurs generate venture ideas:,Creative thinking,Financial planning,Decision-making,Goal setting,A,"Creative thinking. The creative-thinking process is a method for encouraging your own creativity, which enables one to generate unique ideas, approaches, and solutions. An entrepreneur is a person who starts and assumes the risk for a business. Before an entrepreneur can start a venture, they must generate an idea for the business, which is done by thinking creatively. The entrepreneur must generate venture ideas before they can make decisions, set goals, and plan finances for the venture. from https://www.alphagamma.eu/entrepreneurship/role-creativity-in-entrepreneurship/",Entrepreneurship,4,easy
Making sure a company follows laws and regulations describes the HR management activity of,compliance.,compensation and benefits.,employee relations.,staffing.,A,Compliance. Compliance is an HR management activity that ensures a company is following all applicable laws and regulations. Staffing is an HR management activity that ensures a company has appropriate employees available and ready to work. Compensation and benefits is an HR management activity that ensures a companyâ€™s employees are paid. Employee relations is an HR management activity that ensures a companyâ€™s employees have positive working relationships.,Human Resources Management,4,medium
"Because people often change their negotiating styles and strategies, effective negotiators must be",flexible.,uneasy.,indifferent.,optimistic.,A,"Flexible. During a negotiation, one party may change strategies one or more times to confuse or distract the other party. To remain effective if this situation occurs, a negotiator must be flexible, patient, and aware of the tactics that the other party is using. Effective negotiators try to remain optimistic during a session under all circumstances, not only when the other person changes strategies. An indifferent or uneasy attitude often hinders the negotiating process.",Emotional Intelligence,4,medium
A business that focuses its selling efforts on satisfying the needs and wants of its clientele is a __________ business.,customer-oriented,product-oriented,service-oriented,profit-oriented,A,"Customer-oriented. Many businesses, whether they are wholesale, retail, or manufacturers of goods, stress to employees that the customer is always right! A service-oriented business emphasizes its services, and a product-oriented business stresses its products. A profit-oriented business considers making a profit its first priority.",Selling,4,medium
Which of the following characteristics best describe effective marketing research:,"Reliable, timely, subjective","Systematic, accurate, timely","Thorough, inopportune, valid","Objective, inexact, systematic",B,"Systematic, accurate, timely. Marketing research is the systematic gathering, recording, and analyzing of data about a specific issue, situation, or concern. Three ways to describe effective marketing research are systematic, accurate, and timely. Other common ways to describe effective marketing research include objective, thorough, valid, and reliable. Inexact, inopportune, and subjective are not terms used to describe effective marketing research. ENTREPRENEURSHIP EXAMâ€”KEY 10",Information Management,5,easy
One of the goals of change management is to,limit the effects of a change.,reduce the time it takes to make a change.,keep the people involved to a minimum.,obtain buy-in from stakeholders.,D,"Obtain buy-in from stakeholders. Changes are more successful when stakeholders are supportive of them. Change management helps obtain this buy-in from stakeholders by keeping them informed and involved. Limiting the effects of a change, keeping the people involved to a minimum, and reducing the time it takes to make a change are not necessarily goals of change management. from https://www.mindtools.com/ahpnreq/the-four-principles-of-change-management",Strategic Management,5,easy
Where does a channel of distribution begin?,With the producer,With the intermediary,With the industrial user,With the ultimate consumer,A,"With the producer. A producer is the grower, provider, or manufacturer of goods or services. Products originate with producers. The channel ends with an industrial user or ultimate consumer. An intermediary is a channel member operating between the producer and the consumer or industrial user to help in the movement of goods and services.",Channel Management,5,easy
Larry's Dairy wants to team up with Rookie Cookie to develop one new ice cream flavor. How should Larry's,License Rookie Cookie name,Execute a joint venture,Create a partnership,Create a franchise under Rookie Cookie,B,"Execute a joint venture. A joint venture is an arrangement that involves two or more businesses entering into a relationship by combining complementary resources such as technology, skills, capital, or distribution channels for the benefit of all parties. The relationship is usually short term and involves the execution of a single project or transaction. A partnership is a form of business ownership in which the business is owned by two or more persons. Licensing is a business structure that requires the authorization or permission of an owner for another for the profit of both parties. A franchise is a contractual agreement between a parent company and a franchisee to distribute goods or services.",Business Law,5,easy
"The manager of a gift shop has doubled the selling price of one type of small, stuffed animals because customers want more of the items than are available to buy. What factor affecting selling price is involved in this situation?",Cost and expense,Government regulation,Supply and demand,Competition,C,"Supply and demand. High demand and low supply have created a situation in which customers are willing to pay higher prices. Competition is not a factor as supply is low to all stores, creating an overall shortage situation. The cost and expense of buying and selling the stuffed animals remain the same. Government regulation is not a factor at this point. August 20, 2024, from https://www.investopedia.com/ask/answers/033115/how-does-law-supplyand-demand-affect-prices.asp",Pricing,5,easy
What type of corporate growth is depicted in the following example: Company X combines with Company Y to form Company Z.,Charter,Merger,Consolidation,Expansion,C,Consolidation. A consolidation involves the joining of two or more companies to form a new company. Both companies give up their identities. A merger is the absorption of one company by another in which one of the two companies gives up its identity. Expansion involves opening new businesses but does not involve a name change. A charter is a state permit issued to a business allowing it to operate as a corporation. It is not a way in which a corporation grows. ENTREPRENEURSHIP EXAMâ€”KEY 11,Business Law,5,easy
"Charice creates a new kind of glue using a new chemical formula that she invented. She wants to make sure that none of her competitors use the formula for their products. To protect the formula, Charice should __________ it.",patent,trademark,,prototype,A,"Patent. Patents protect inventions and prevent others from making, using, or selling that invention. A new chemical formula for glue is a new invention, so Charice should obtain a patent to protect it. Trademarks protect protect original works, such as music, paintings, literary works, and television. A prototype is an early test or sample of a product, not a form of protection for intellectual property.",Business Law,5,medium
Commissions paid to salespeople increase as the amount of their sales increase. This is an example of __________ costs.,fixed,semi-variable,variable,operating,C,Variable. Variable costs go up or down in response to increases or decreases in sales. Fixed and semi-variable costs are not affected by sales commissions. Operating costs are the expenses involved in running the business.,Operations,5,medium
"When a business installs dead-bolt locks on all of its exterior doors, it reduces __________ risk.",natural,economic,human,obsolescence,C,"Human. Human risks are caused by human weakness and the unpredictability of employees and/or customers. The business is installing dead-bolt locks to prevent or control the possibility of theft, which is a type of human risk. Natural risks result from such natural causes as floods, tornadoes, fires, lightning, blizzards, and earthquakes. Economic risks are changes in the market that force prices to be lowered, products to change, or even businesses to fail. Obsolescence is an economic risk that is the state of being outmoded or unfashionable.",Economics,5,easy
Who typically has the greatest influence on a company's corporate governance?,Board of directors,Shareholders,Chief financial officer,HR director,A,"Board of directors. Corporate governance includes the controls, policies, and guidelines needed to reach organizational goals while meeting stakeholders' needs. While many people are affected by corporate governance structures, the board of directors is the primary influence on corporate governance. The board is selected by shareholders and has the responsibility of making important decisions for the business. Shareholders, the chief financial officer (and most other executives), and the HR director do not hold greater influence than the board on a company's corporate governance. https://www.investopedia.com/terms/c/corporategovernance.asp",Professional Development,5,medium
SWOT analysis is a technique for summarizing a company's,"skills, workers, organizations, and teams.","strategy, wholesalers, objectives, and trademarks.","strengths, weaknesses, opportunities, and threats.","store, warranty, occupations, and tariffs.",C,"Strengths, weaknesses, opportunities, and threats. SWOT analysis stands for strengths, weaknesses, opportunities, and threats. The alternatives do not define a SWOT analysis. ENTREPRENEURSHIP EXAMâ€”KEY 12",Market Planning,6,medium
"What section of a long, formal business report contains the author's opinions?",Appendix,Recommendations,Introduction,Summary,B,"Recommendations. Recommendations are stated separately so that the reader can identify what information is fact and what is opinion. The summary highlights the main points of the report. An appendix contains materials that may be helpful to the reader but are not necessary for understanding the report. The introduction generally includes a statement of the problem, the purpose of the report, definitions of terms, research methods, and limitations to the research. 2024, from https://www.unr.edu/writing-speaking-center/writing-speaking-resources/how-to-write-abusiness-report",Communication Skills,6,easy
"When a scandal involving a large bank's CEO became public, the bank's public relations team went into immediate action. The team released public statements, provided an information hotline for the media, and apologized for the bank's involvement in the scandal. These public relations activities are forms of",philanthropy.,community relations.,media tours.,crisis management.,D,"Crisis management. Crisis management involves the ongoing managing, planning, and coordinating of resources in the event that undesirable circumstances occur. A scandal involving company leadership is an example of an undesirable circumstance that warrants immediate crisis management. Community relations, philanthropy, and media tours are other public relations activities, but they are not involved in this example. Community relations refers to a business or organization's efforts to create goodwill between it and the people in the community. Philanthropy refers to a company's charitable activities. A media tour is a trip taken by a company executive to meet with members of the press. from https://www.talkwalker.com/blog/pr-crisis-management",Promotion,6,hard
