Question,A,B,C,D,Correct,Explanation,Marketing,Assessment,Difficulty
"What might a business lose if an advertisement attracted new customers, but they were greeted by a discourteous employee?",Negative impression,Repeat business,Service problems,Frequent complaints,B,"Repeat business. A business needs to maintain a positive relationship with customers to attract repeat business. Customers who encounter discourteous treatment by employees often do not return. The loss of repeat business is very costly because it is more expensive to attract new customers than to keep existing ones. Also, customers who are poorly treated usually tell others. As a result, many potential customers may decide not to do business with the company. Customers who are treated discourteously by employees often complain about the business, develop a negative impression of the business, and experience service problems.",Customer Relations,2,medium
Which of the following is a primary advantage of conducting a focus group to obtain marketing information:,Limited preparation,Moderator objectivity,Cost effectiveness,Discussion relevance,D,"Discussion relevance. A focus group is a group that gathers to discuss a specific topic. Businesses often hold focus groups to obtain marketing information about their goods and services. When a business holds a focus group, it is collecting marketing information about a specific topic, which makes it primary research data for the business. Because the business is collecting the information for a specific purpose, the data are relevant to the business. Weaknesses or disadvantages for businesses that hold focus groups are that they can be expensive and can take a lot of time to prepare for. And, sometimes, the focus-group moderator projects a bias, which hurts the objectivity of the research. methods, sources of information, timeliness of information, etc.) Boston, MA: Cengage Learning, Inc.",Information Management,2,medium
Broadcast advertising is an example of __________ media.,out-of-home,promotional,direct mail,transit,B,"Promotional. Promotional media are channels of communication used by businesses to deliver advertising messages to target groups of consumers. Broadcast media include radio and TV, which use radio waves to reach consumers. Direct mail is a form of promotional media that comes to the consumers' homes in the form of letters, catalogs, postcards, and folders. Transit media is a form of out-of-home media found in various forms and locations of mass transportation. Out-of-home media is a form of promotional media to which we are exposed outside our homes, such as outdoor and transit media.",Promotion,2,medium
Which of the following is a true statement regarding leadership and ethics:,"Leaders are not always ethical, but ethical people are always leaders.","Leaders are never ethical, and ethical people are never leaders.","Ethical people are not always leaders, but leaders are always ethical.","Ethical people are not always leaders, and leaders are not always ethical.",D,"Ethical people are not always leaders, and leaders are not always ethical. A leader might be in charge of a group of peopleâ€”being their role model and giving them directionâ€”but the behavior they model might not be ethical. Alternatively, an ethical person might follow their principles in a quiet, private manner without acting as a leader or having any effect on others. Ethical leadership brings together both leadership and ethicsâ€”directing and guiding others in a way that upholds ethical principles. â€”KEY 4",Emotional Intelligence,2,easy
"In an ambiguous situation, what is the first thing you should do to learn more?",Focus on creativity.,Try to get out of the situation.,Practice mindfulness.,Ask questions.,D,"Ask questions. The more details you have about a situation, the better you will feel, even when the situation is uncertain. You might be able to reduce doubt by asking the right questions and gaining information. Focusing on creativity, trying to get out of the situation, or practicing mindfulness will not necessarily help you to learn more about an ambiguous situation.",Emotional Intelligence,2,easy
The desire for an item that has monetary value is a(n) __________ want.,noneconomic,unlimited,economic,intangible,C,Economic. Economic wants have monetary value. These can be desires for tangible goods or for intangible items. A noneconomic want has no monetary value. These goods and services are considered free goods. Wants are considered unlimited because people desire more goods and services than they can obtain.,Economics,2,easy
What is the relationship between the elements of the marketing mix and marketing strategies?,Development of effective marketing strategies requires consideration of the marketing mix elements.,The marketing mix elements enable marketers to change marketing strategies frequently.,Marketing strategies cannot be developed until the marketing mix elements are developed and implemented.,The marketing mix elements enable marketers to avoid changing marketing strategies.,A,"Development of effective marketing strategies requires consideration of the marketing mix elements. Marketing strategies are plans of action for achieving marketing goals and objectives. Even though strategies are often planned before the selection of a company's marketing mix is finalized, the elements of the marketing mix must be considered in the planning process if the strategies are to be successful. Marketing strategies tend to provide long-term direction for a company's marketing efforts, rather than being changed frequently. However, even successful marketing strategies may need to be changed when the environment in which the business exists changes.",Market Planning,2,medium
People tend to follow the crowd because they,reject the status quo.,like to take risks.,want to stand out from others.,want to be accepted by their peers.,D,"Want to be accepted by their peers. People often follow the crowd because they have a need for acceptance by their peers. People who reject the status quo, want to stand out from others, or like to take risks are not likely to follow the crowd.",Emotional Intelligence,2,easy
"In an attempt to attract potential business investors, Alex exaggerated his business's anticipated year-one income. This is an example of",nepotism.,puffery.,sustainability.,ethicality.,B,"Puffery. When entrepreneurs overstate their anticipated year-one income to try to attract potential business investors, they are committing puffery. It can be easy to fall into the trap of puffery, especially when an entrepreneur desperately needs the financial help. But it's never ethical to lie or exaggerate when it comes to money, and overstating anticipated income is only a temporary fix for a more serious problem. Exaggerating year-one income is not an example of sustainability, nepotism, or ethicality. â€”KEY 5",Entrepreneurship,2,medium
A company wants to collect information from various sources to determine if it should consider expanding to international markets. What research method should the company use if it does not want to spend a lot of time or money to obtain the information?,Experimental,Causal,Interview,Exploratory,D,"Exploratory. Exploratory research involves collecting information to help the business define its issue, situation, or concern, and decide how to proceed with its research. Causal or conclusive research focuses on cause and effect and tests â€œwhat ifâ€ theories. Interviews are conversations in which a researcher surveys an individual to obtain research data. An experiment is a research method that tests â€œcause and effectâ€ by test marketing new products or comparing test groups with control groups. and causal) August 8, 2024, from https://www.driveresearch.com/market-research-company-blog/exploratorymarket-research",Information Management,2,medium
What is an example of an unethical pricing practice?,A business prices a new product line to reflect high quality and status.,A firm sets a business objective to increase its profit margins over the next 5 years.,A business increases its prices when the cost of the materials to make the products increases.,A company prices its products low in an attempt to drive its competitors out of business.,D,"A company prices its products low in an attempt to drive its competitors out of business. Ethics are the principles that guide personal behavior. When a business prices its products very low with the goal to drive its competitors out of business, it may be acting unethically, and possibly illegally. This is because the business is deliberately pricing products so low that smaller businesses cannot afford to compete, which eventually drives them out of business. Increasing prices when production costs increase, setting profit-margin objectives, and using a prestige pricing strategy are legal and ethical business practices. https://corporatefinanceinstitute.com/resources/management/predatory-pricing",Pricing,3,easy
Promotion of products is a form of,media.,management.,preselling.,public relations.,C,"Preselling. Promotion presells goods and services to consumers through the use of persuasion. This makes the salesperson's job easier. Promotional messages appear in various media. Examples of media are television, radio, newspapers, magazines, etc. Public-relations promotions are a type of institutional promotion created to deal with controversial public issues that are related to a company or its products. Management involves directing or controlling business operations.",Promotion,3,easy
"Kara orders a dress for her school dance on Saturday. If the dress doesn't arrive until the next Monday, it has no __________ utility.",form,time,possession,place,B,"Time. When products are available at the time they are needed, they have time utility. If Karaâ€™s dress doesnâ€™t show up until Mondayâ€”two days after the danceâ€”it wonâ€™t possess time utility for her. Form utility occurs when the form of a good or service is altered to provide more satisfaction for the customer. Possession utility is created when ownership of a product is transferred from the seller to the person or business that will use the good or service. Place utility exists when goods or services are available at the place where they are needed or wanted by customers. â€”KEY 6",Economics,3,easy
A primary responsibility of a federal regulatory agency is issuing radio and TV licenses to qualified applicants. What type of authority does the agency have?,Control of rates,Control of incorporation,Control of supply,Control of conduct,C,"Control of supply. Administrative law is a branch of law that addresses the rules and regulations that have been established by governmental agencies. The legislative branch of the government (i.e., U.S. Congress and Canadian Parliament) establishes governmental agencies and gives them authority to enact and enforce regulations for three specific administrative functions. One administrative function is the control of supply for specific activities. In the United States, the Federal Communications Commission (FCC) is responsible for issuing radio and TV licenses to applicants that meet the agency's standards. The control of rates involves regulating the prices for services such as utilities. Control of conduct focuses on the disclosure of information by businesses to consumers. Incorporation is the process of establishing a corporation as a form of business ownership. from https://www.justia.com/communications-internet/broadcast-licensing-procedures",Business Law,3,medium
Public-relations promotions can help businesses to handle controversial situations by,emphasizing product features.,promoting a brand.,influencing consumers' attitudes.,stimulating product demand.,C,Influencing consumers' attitudes. Public-relations promotions are institutional promotions created to deal with controversial public issues that are related to a company or its products. They can be used to enhance a company's image directly by improving a negative image or by establishing a positive one in a negative situation. Product promotion stimulates demand for products and emphasizes their features and benefits. Secondary product promotion promotes specific brands.,Promotion,3,hard
What type of property is a business protecting when it registers its trademark?,Intellectual,Tangible,Administrative,Statutory,A,"Intellectual. Many businesses own both tangible and intangible property. Intellectual is a type of intangible property because it is not capable of being detected through the senses. Examples of intellectual property include trademarks and trade names such as Xerox and M&M's. Businesses usually register their trademarks to legally protect them from being used or copied by other businesses. Tangible property is capable of being touched, smelled, tasted, seen, or heard, such as office equipment. Statutory and administrative are not types of property. 2024, from https://www.uspto.gov/trademarks/basics/what-trademark",Business Law,3,easy
More businesses are installing and using kiosks to promote their goods and services because this form of technology is,interactive.,portable.,seasonable.,generic.,A,"Interactive. A kiosk is a stand-alone structure located in public places and is designed to provide information and sell products. Because the kiosks are interactive, customers can enter information into the kiosk's computer system and obtain what they want instantly. For example, customers can purchase theater tickets at the local cinema's kiosk and obtain a bridal registry at a department store's kiosk. Generic refers to a type of brand. Kiosks are not portable or seasonable. Retrieved August 8, 2024, from https://www.wavetec.com/blog/self-service/why-self-service-whatare-the-benefits â€”KEY 7",Promotion,3,medium
"Many people who have initiative are also adaptable, which means that they are",rigid.,stubborn.,reliable.,flexible.,D,"Flexible. An individual who is adaptable, or flexible, is able to adjust to change. Individuals who are stubborn or rigid are inflexible and have difficulty with any kind of change. A reliable person is dependable, which is not the same as being adaptable.",Emotional Intelligence,3,easy
What is a benefit to a tour operator who makes business decisions by analyzing statistical information?,Lower demand,Improved performance,Lower outputs,Increased competition,B,"Improved performance. Statistics are information presented in numerical form. Businesses analyze and interpret statistics to make various business decisions. By analyzing statistical information, a tour operator might determine ways in which to improve sales, productivity (higher outputs), or overall performance to compete more effectively in the marketplace. Lower demand, increased competition, and lower outputs do not benefit tour operators. from http://smallbusiness.chron.com/advantages-statistics-business-18698.html",Information Management,3,medium
"After working 40 years at a small publisher, Sylvia is getting ready to retire. She is not worried about having money in retirement, because she will receive income from her",457 plan.,financial plan.,pension.,embezzlement.,C,"Pension. Pension is a retirement fund, which has been paid into by an employee and/or an employer. Because Sylvia will no longer receive payment as an employee, she will use the money she has set aside in her pension to cover her expenses in retirement. A financial plan is the part of a company's business plan that shows how the business has performed (or is likely to perform) financially. A 457 plan is a tax-deferred retirement plan available to state and local government employees. Embezzlement is the theft of valuables that have been entrusted to one's care. 2024, from https://www.investopedia.com/terms/p/pensionplan.asp",Financial Analysis,3,easy
"In product/service management, a major disadvantage of rapid technological changes is the",rate at which existing products become obsolete.,increase in customer satisfaction and profitability.,increase of customer product awareness.,number of new products entering the market.,A,"Rate at which existing products become obsolete. Technology advances so rapidly that products introduced to market are quickly being reintroduced with upgrades or changes that make the original obsolete. The problem is that many technically advanced products have a short life cycle because more advanced products take their place. Increasing the introduction of new products and improving customer awareness will increase customer satisfaction and, as a result, increase sales and profitability. These are advantages of new technology. 8, 2024, from https://www.eit.edu.au/technology-advancements-the-pros-and-cons",Product Management,4,hard
Which of the following would be an instruction that promotes responsible behavior by employees:,Know your job tasks and perform them well.,Try to hide your serious mistakes.,You can ignore the company's unwritten rules.,Try to avoid asking questions.,A,"Know your job tasks and perform them well. Employees should make every effort to find out exactly what their job responsibilities are and then carry them out to the best of their ability. To accomplish this, employees must ask questions and admit their mistakes. Unwritten company rules, as well as written rules, should be followed in order to foster good relations with coworkers and customers. â€”KEY 8",Emotional Intelligence,4,medium
"Devin is a cashier at the local pizza palace. When ringing up a customerâ€™s bill, Devin accidentally charged the customer $169.90 for a large pizza instead of $16.99. Which would be a good way for Devin to maintain his self-control?",Apologize for his mistake.,Say that it's the cash register's fault.,Pretend like nothing is wrong.,Accuse the manager of insufficient training.,A,"Apologize for his mistake. The best way for Devin to maintain his self-control would be to apologize to the customer. Blaming either the manager or the cash register would not be smart things to do, because Devin needs to take responsibility for his error. Pretending like nothing is wrong would also upset the customer, since Devin overcharged the person by more than $150.",Emotional Intelligence,4,easy
Keeping track of what's selling may help you,support a cause.,project a certain image.,avoid doing inventory.,spot product trends.,D,"Spot product trends. Keeping track of whatâ€™s selling may help you spot product trends, which can generate ideas for product development. It doesnâ€™t help you support a cause, avoid doing inventory, or project a certain image.",Marketing,4,easy
How would the introduction of a highly anticipated new product likely affect a business's sales forecast?,Predicted sales would vary based on geographic location.,Predicted sales would be high.,It would be impossible to predict sales.,Predicted sales would be extremely low.,B,"Predicted sales would be high. When a business introduces a highly anticipated new product (e.g., the latest version of the iPhone), predicted sales are usually high, not low. It is quite possible to predict sales for new products. Only in rare cases would geographic location have an impact on such a product.",Market Planning,4,medium
What is an advantage to businesses that use product-bundling strategies?,Businesses usually reduce their suggestion selling and advertising efforts.,Businesses tend to spend less time training their employees about the products.,It usually reduces the need for the business to follow up with customers.,It often reduces customers' comparison-shopping activities.,D,"It often reduces customers' comparison-shopping activities. Product bundling is the practice of putting together two or more goods/services to create a one-price package, which is less expensive for the customer than purchasing the products individually. Product bundling provides customers with a greater sense of value because they are getting more for less. When customers believe that they are getting a bargain, they are more likely to purchase the bundled package quickly rather than comparison shop for similar products. This is an advantage to a business providing the bundled products because it is less likely to lose sales to a competitor. Bundled products do not necessarily reduce a business's need to follow up with customers, reduce product training activities, or reduce suggestion selling and advertising efforts. August 8, 2024, from https://www.zoho.com/inventory/academy/order-fulfillment/what-is-productbundling.html",Product Management,4,medium
Wholesalers and retailers who buy goods through channels of distribution that are not authorized by the manufacturer of the goods are buying on the __________ market.,mass,import,gray,foreign,C,"Gray. Wholesalers and retailers who buy goods from unauthorized distributors often are able to obtain the goods at a lower price and pass that savings on to customers. The practice usually is considered unethical because the manufacturer and its authorized distributors ultimately lose money. Consumers also may suffer because purchases made from unauthorized dealers may not be covered by the manufacturer's warranty or be eligible for service. The mass market is the entire market. Importing is buying goods and services from other nations. The foreign market is the market in other countries. trading. Retrieved August 8, 2024, from https://www.investopedia.com/terms/g/graymarket.asp â€”KEY 9",Channel Management,4,hard
A company should consider the target market's needs and wants when it,develops its personal budget.,prepares its weekly expense reports.,achieves its short-term goals.,positions its corporate brand.,D,"Positions its corporate brand. A corporate brand is the combined impressions, images, or experiences associated with a company or parent entity. When positioning corporate brands, the company considers many factors such as its values and mission, its products' attributes, and its target market's needs and wants. The business must consider the target market's needs and wants because this group is most likely to purchase the company's products. If it doesn't consider the target market's needs and wants, the target customers may purchase from competitors, which can negatively affect the corporate brand. The business may consider the target market's needs and wants when it sets short-term goals. When the business has accomplished its goals, the goals have been achieved. The target market's needs and wants are not a primary consideration when preparing routine expense reports. Individuals develop personal budgets, and businesses prepare a variety of company budgets. from https://cultbranding.com/ceo/create-strong-brand-positioning-strategy",Product Management,4,easy
Which of the following kinds of product information would you use to help a customer who is comparing designer sweaters:,Product finish,Production process,Materials and content,Pricing information,C,"Materials and content. You can use the information about the composition of products to help solve customer buying problems and to assist customers in comparing similar products. Finishes are used in enhancing the beauty of products, increasing their value, protecting their surfaces, aiding in their care, or providing safety features. Consumers usually are not interested in the technical manufacturing process which determines the quality of a product. Pricing information helps the customer make a buying decision on price alone and does not consider the quality of the merchandise. 2024, from https://www.liveabout.com/tips-for-better-customer-service-how-to-help-a-customer2948070",Selling,4,medium
"A bike company envisions itself as young, active, and rugged. This is its brand",identity.,personality.,value.,promise.,B,Personality. Brand personality is the projection of a brand that encompasses its values and emotional connections with consumers. Brand identity is the elements that are instantly recognized as representing a particular business or product. Brand values are beliefs or qualities that a corporate brand stands for and is built around. A brand promise is a business's spoken or unspoken agreement with customers that it will consistently meet their expectations and deliver on its brand characteristics and values.,Product Management,4,easy
"A business has an opportunity to buy out one of its competitors, and a management meeting is scheduled to discuss this possibility. Which of the following management levels would be represented at the meeting:",First-line,Mid-level,Top-level,All levels,C,"Top-level. Top-level management is composed of all managers who are responsible for the entire company, and they would attend this kind of meeting. Mid-level managers report to top-level management. They might be included in future meetings, after the top-level managers have discussed the situation. First-line management is supervisors who work directly with employees who carry out the business's routine work. They would not attend this type of meeting. 0",Strategic Management,5,hard
Krystal's supervisor just sent her an email congratulating her on a positive performance review. Krystal wants to take this opportunity to ask for a raise. What should Krystal do next?,Send a text message to her supervisor asking for a specific percent increase,Reply to the email and ask to schedule a time for a face-to-face meeting,Forward the email to a human resources official and ask them to suggest that Krystal get a raise,Forward the email to the CEO and ask for a raise with a specific percent increase,B,"Reply to the email and ask to schedule a time for a face-to-face meeting. When selecting the appropriate channel for workplace communication, the intent of the message is an important factor to consider. Messages that require interaction, such as negotiation, are best delivered face-to-face. Written communication channels are best used to communicate information that does not require interaction, such as to make announcements, ask for a quick question or clarification, or to schedule meetings. Text messages are best used for personal interactions and not often used as professional or workplace channels of communication. It is often a best practice to directly contact an individual and not ask someone else to contact them for you. Retrieved August 7, 2024, from https://smallbusiness.chron.com/communication-channels-withinorganization-61447.html",Communication Skills,5,hard
A business with poor ethics causes internal problems for itself by,improving its public image.,decreasing financial risk.,decreasing productivity.,increasing customer loyalty.,C,"Decreasing productivity. A business with poor ethics causes internal problems for itself by decreasing performance levels and productivity. Employees are influenced by their work environmentsâ€”unethical companies breed bad behavior among employees. An unethical company hurts its public image, decreases customer loyalty, and increases its financial risk.",Economics,5,easy
A form of technology that businesses use to obtain customer feedback quickly at the customer's convenience is,internet search engines.,direct mail surveys.,online survey services.,video conferencing media.,C,"Online survey services. Businesses often use online survey services (e.g., SurveyMonkey.com) to post online surveys for their customers to complete at their convenience. The businesses can retrieve the feedback and analyze results at their convenience, as well. Direct mail surveys are sent by postal service and are less efficient and more expensive tools for businesses to use to obtain customer feedback. A search engine is a software program that automatically crawls the web looking for information pertaining to specified search terms and displays a list of results. Video conferencing software allows two or more computer users who are in different locations to communicate in real time. Video conferencing usually involves a lot of planning and is not the quickest, most cost-effective way to obtain feedback. https://www.questionpro.com/blog/what-are-online-surveys",Information Management,5,medium
A project manager should share the project plan with,no one.,the client and project team.,the CEO.,one or two trusted coworkers.,B,"The client and project team. When all other aspects of the project plan have been completed, the final step is to share and review the project plan with the client and team. This allows the project manager to get input and make sure all are on board. The CEO does not necessarily need to see the project plan in all cases. One or two trusted coworkers would not necessarily need to see the project plan unless they are on the project team. 1",Operations,5,easy
What do some businesses include on their product labels in an attempt to be ethical by making it easy for customers to contact them to obtain additional product information?,Company name,Website,Recommended use,Expiration date,B,"Website. Most businesses have websites that contain extensive information about the business's products. Businesses often include their websites on product labels to make it easy for customers to access additional product information. This is an example of ethical behavior because the business is making sure that customers can find the information they want if they have questions about the product. The expiration date and recommended use are included on the labels of certain types of products, but this does not make it easy for customers to contact the business. Labels include the company name, but without an address or phone number on the label, it may be extremely difficult for customers to contact the business. August 8, 2024, from https://www.shopify.com/ca/blog/product-label-design",Product Management,5,hard
Marshall's employer pays him for the work that he performs while on the job. This is an example of,earned income.,transfer payments.,capital gains.,passive revenue.,A,"Earned income. Income is money that individuals and businesses receive from other sources. Marshall worked to receive wages from his employer, so he has earned income. Unearned income is revenue that individuals and businesses passively obtain. In these situations, individuals or businesses do not actually perform work to obtain the money. Dividends, rent, and transfer payments are examples of unearned income. Transfer payments are monies paid by the government for which no goods or services are received in exchange, such as welfare benefits, veterans' benefits, disaster aid, and unemployment. A capital gain refers to the amount of increase in value of an asset in relation to its price at the time of purchase. from https://mirandamarquit.com/earned-income-vs-unearned-income",Financial Analysis,5,easy
The purpose of using a marketing-information management system to gather data on the activities and new products of other businesses is to,monitor the competition.,analyze promotional methods.,compare warehouse procedures.,improve stock control.,A,"Monitor the competition. Information about competitors' activities is very important to a business. An important responsibility of a marketing-information management system is to gather and analyze such data as improvements planned for competitive products, new products that are being introduced, or the competition's market share. Comparing warehouse procedures, analyzing promotional methods, and improving stock control are other functions of a marketing-information management system not related to monitoring the competition.",Information Management,5,hard
"When a product has been distributed throughout a population and the only chance for increased sales is population growth or a shift in market share, the product has reached",penetration pricing.,price skimming.,population fixation.,market saturation.,D,"Market saturation. Market saturation occurs when a product has been distributed throughout the population, and the only chance for increased sales occurs with population growth or a shift in market share. Fast food, for instance, has reached most of its potential customers in the United States. Price skimming and penetration pricing are marketing strategies, whereas market saturation is a consequence of a productâ€™s stage in the life cycle. Population fixation is not a term used to describe oversaturation of a market. 2",Product Management,5,hard
Some governments regulate promotional activities in their countries to protect consumers from,unlimited liability.,deceptive advertising.,inconsistent selling strategies.,unnecessary media exposure.,B,"Deceptive advertising. Advertising that omits information or misleads consumers is considered deceptive behavior. Since advertising messages can affect consumers' purchasing decisions, governments often regulate advertising practices to protect the consumers. Inconsistent is a general term that means different. Using different selling strategies does not necessarily lead to deceptive advertising practices. Media exposure refers to the quantity of promotional messages that people hear or view through the various media channels. The necessity of media exposure to any given message is dependent upon the perceptions of the message sender, message channel, and message recipient. Therefore, the concept of unnecessary media exposure is subjective in nature. Unlimited liability refers to the requirement that business owners are responsible for paying business debt, and personal assets can be used to pay that debt. 8, 2024, from https://www.torhoermanlaw.com/false-or-misleading-marketing",Promotion,5,medium
One of the functions of the implementation component of a marketing plan is to,describe the objectives.,outline plans of action.,explain budget considerations.,measure standard procedures.,C,"Explain budget considerations. The implementation component of a marketing plan is intended to explain how the plan will be put into effect. One aspect of this involves explaining budget considerations and the amount of money that will be needed to implement the marketing plan. Before a plan can be put into effect, a business needs to determine if the cost is worth the investment, and if the funds are available or can be obtained. The objectives component describes the goals and objectives. The marketing strategies component outlines the plans of action. The evaluation and control section explains the measures that will be used to evaluate the procedures.",Market Planning,6,easy
Which of the following is a method of gathering data about the status of your project:,Websites,Meetings,Databases,Research studies,B,"Meetings. One of the most effective methods of gathering data about the status of your project is through meetings with team members. You can ask team members questions about their work to help obtain qualitative data about your project. Websites, databases, and research studies are not necessarily methods of gathering data about the status of your project.",Operations,6,easy
Is it unethical for a manager to promote an employee who is also the manager's friend?,"Yes, other employees will file discrimination claims, which will damage the company's reputation.","No, if the employee is not the same gender as the manager.","Yes, it is inappropriate to promote a friend.","No, if the appropriate procedures are followed, and the employee is the most qualified candidate.",D,"No, if the appropriate procedures are followed, and the employee is the most qualified candidate. Employees often form friendships with their coworkers, managers, and subordinates. It is important, however, that the managers remain objective and place the company's best interest above their personal feelings or relationships when making job-related decisions. If a manager follows the company's interviewing and hiring protocol, and the employee is the most qualified candidate, then it is not unethical or inappropriate to offer the employee the promotion. Basing a decision on an employee's gender may be unethical and is considered a form of discrimination. It cannot be assumed that other candidates will file discrimination claims if one employee is promoted. 3",Human Resources Management,6,easy
