Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
"When writing a business report, Thomas might check his writing and style manual to determine the",synonyms for common words.,best way to set up tables using computer software.,formal definitions of important terms.,appropriate way to cite his resources.,D,"Appropriate way to cite his resources. To provide consistency throughout written documents, certain businesses or industries often follow a specific writing style, such as the Associated Press (AP) Stylebook or Chicago Manual of Style (CMOS). Because each style manual varies and often follows different standards, a writer should check the appropriate style manual to ensure they are formatting a resource citation correctly. A computer software manual, the computer software ""help"" function, or a computer software website provides information about setting up tables in documents. A dictionary or glossary provides formal definitions of words. A thesaurus provides synonyms for words. Retrieved October 6, 2021, from https://libguides.calstatela.edu/style",Communication Skills,2,easy
What is a technique that often helps businesspeople write effective business letters?,Developing charts,Consulting references,Preparing outlines,Asking questions,C,"Preparing outlines. Businesspeople often are expected to write business letters on a regular basis. One technique that helps them write effective business letters is to first prepare an outline. An outline is a general plan giving only the main points to be covered. Preparing an outline helps businesspeople decide exactly what they want to say in the letter and to organize their thoughts. Businesspeople then can use the outlines to write effective letters. Businesspeople usually do not ask questions, consult references, or develop charts to write effective business letters. from https://rlc.rutgers.edu/news/importance-outlining",Communication Skills,2,easy
What is one reason why businesses write informational messages?,To develop memos,To prepare letters,To sell products,To identify customers,C,"To sell products. One reason why businesses write informational messages is to sell products to customers. Businesses often develop sales letters that explain their goods and services and send these letters to prospective or current customers. The sales letters include important information about the business and its products and are intended to encourage customers to buy. Letters and memos are types of informational messages. Businesses identify customers before sending them informational messages. 468-470]. Tinley Park, IL: The Goodheart-Willcox Co.",Communication Skills,2,medium
Which of the following is an example of a business purposefully using social media to promote itself:,A forum where car owners post mechanical repair and upgrade advice,An automaker's Instagram account showing the company's newest vehicles,An opinion blog about the best features of newly designed vehicles,Tweets about the superior miles per gallon by new auto owners,B,"An automaker's Instagram account showing the company's newest vehicles. Businesses often use their Instagram accounts, a form of social media, to promote themselves. An automaker, for example, can advertise its newest vehicles on its Instagram account. While repair and upgrade advice posted by car owners, favorable tweets, and positive opinions on blogs may benefit the auto manufacturer, the business isn't purposely using those social media to promote itself. New York: McGraw-Hill/Irwin.",Communication Skills,2,easy
Which of the following is a guideline for employees to use in communicating with coworkers:,Use a direct approach in speaking to an angry coworker,Feel free to express their complaints about their jobs,Be sure to share rumors and gossip with their coworkers,Think about what they want to say before they say it,D,"Think about what they want to say before they say it. Employees should be able to express themselves to their coworkers. However, they should always think about what they want to say before saying it so that they do not cause problems or misunderstandings. Legitimate complaints or problems about the job should be discussed with the supervisor, not coworkers. Rumors and gossip should not be passed on to coworkers as they may not be true and could cause harm. A nondirective approach is best in communicating with angry coworkers as it helps defuse their anger. https://www.inc.com/lee-colan/think-before-you-speak.html",Communication Skills,2,easy
"While Mark is presenting his status report during a staff meeting, Danielle has a question about something he says. What should Danielle do?",Wait until the next meeting to ask her question,Ask the question after Mark has finished speaking,Interrupt Mark so she can ask her question right away,Wait to see if another participant has the same question,B,"Ask the question after Mark has finished speaking. Speakers often ask other meeting participants if they have questions after they finish their presentations. Therefore, Danielle should ask her question after Mark finishes his presentation, when he asks if anyone has questions. Interrupting Mark while he is speaking to ask a question is disruptive and rude. Other meeting participants may not think of the same question that Danielle has, so she should not rely on others to ask the question. Danielle should not wait until the next meeting, because the information Mark provides may be outdated or forgotten by that point. Learning, Inc.",Communication Skills,2,easy
What is an example of an employee reinforcing a service orientation through communication?,Selecting certain customers to help,Telling customers they are misinformed,Agreeing that customers are always right,Offering to find information for customers,D,"Offering to find information for customers. Employees often need to communicate information to customers to provide service. On occasion, employees may not know the answer to a customer's question; but, instead of saying they do not know, they should offer to find out. Obtaining information for customers is an effective way of reinforcing a service orientation through communication. Employees should help all customers rather than be selective about whom they serve. Employees should never tell customers that they are misinformed. Employees should be tactful when dealing with complaints because customers are not always right. 547-548]. Tinley Park, IL: The Goodheart-Willcox Co.",Customer Relations,2,medium
I buy only the most expensive brands is a statement that characterizes the __________ customer.,disagreeable,domineering/superior,suspicious,slow/methodical,B,"Domineering/Superior. Domineering/Superior customers often appear overly self-confident and pushy by boasting about their purchases. Since these customers usually know what they want, they convince or sell themselves. Disagreeable customers are unpleasant and hard to help because they are argumentative, complaining, irritable, moody, insulting, impatient, and/or have a leave-me-alone attitude. Suspicious customers question everything and want facts and proof before being convinced to buy. Slow/Methodical customers require a lot of time to make a purchase because of difficulty in making a choice or buying decision.",Customer Relations,2,medium
Why is it important for salespersons to listen carefully to customers' complaints?,To determine the reasons for complaints,To choose a company policy to follow,To make customers feel unique,To ensure customers' cooperation,A,"To determine the reasons for complaints. Listening attentively to customers as they express their complaints will help you identify the reasons for the complaints, which is the first step in solving the problem. It also helps put the customer in a good frame of mind, which may make handling the complaint easier. Since customers expect employees to listen to their complaints, listening would not make the customer feel unique. Listening will not ensure the customer's cooperation with the recommended resolution of the complaint. The salesperson should follow established policy rather than choosing a policy for handling the situation. business? Retrieved October 6, 2021, from https://www.revechat.com/blog/importancecustomer-complaints-business/",Customer Relations,2,medium
Which of the following is an example of a post-sale touchpoint:,The product itself,Customer loyalty program,Advertising,Publicity,B,Customer loyalty program. A customer loyalty program is an example of a post-sale touchpoint. It's one way for businesses to keep in touch with customers and build brand loyalty. The product itself is considered a during-the-sale touchpoint. Advertising and publicity are generally considered presale touchpoints.,Customer Relations,2,medium
Which of the following statements regarding employees and company image is true:,Companies with dissatisfied employees have more positive images.,Employees are a company's biggest brand ambassadors.,Employees generally have no impact on a brand's image.,Companies with satisfied employees have more negative images.,B,"Employees are a company's biggest brand ambassadors. Employees have a huge impact on a company's public image. Generally, employees who are satisfied with their jobs are more likely to have a positive effect on company image, while employees who are dissatisfied are more likely to have a negative effect. October 6, 2021, from https://www.huffpost.com/entry/employee-engagement_b_3956204",Customer Relations,3,easy
Which of the following is an example of a resource:,Goals,Friendship,Dreams,Money,D,"Money. A resource is any item that can be used to produce goods and services; therefore, money is a resource, while dreams, goals, and friendship are not resources. Examples of other resources are land, workers, equipment, and buildings.",Economics,3,easy
A business is exploring the possibility of accepting customers' bank credit cards as a means of payment for products. Which form of utility will the business be affecting?,Place,Time,Possession,Price,C,Possession. Possession utility is usefulness created when ownership of a product is transferred from seller to user. The use of bank credit cards will make it easier for customers to purchase products. Time and place utility deal with having a product available when and where it is desired by the customer. Price is not a form of utility.,Economics,3,easy
A manufacturer is a type of business that,sells raw goods for their producers.,turns raw goods into useful products.,does not make use of raw goods.,keeps raw goods in their original forms.,B,Turns raw goods into useful products. The manufacturer changes the shapes or forms of raw goods so that they will be useful to consumers. Manufacturers buy raw goods from their producers and sell finished products.,Economics,3,easy
Which of the following economic systems encourages competition in business:,Communist command,Socialist command,Traditional,Market,D,"Market. A market economy is an economic system in which the means of production and distribution are owned and controlled by individuals and businesses. The government's role in business includes protecting private property, preserving law and order, and supporting a competitive trade environment. In socialism, competition is limited because the government owns most of the major industries. Competition is not allowed in communism because the government owns all the means of production and distribution. In a traditional economy, people produce only what they must have to exist.",Economics,3,medium
"Jill is waiting to find out how she scored at a dance competition. She starts to feel her heart racing and starts thinking about all of the mistakes she made during her routine, assuming the worst. Jill needs to",assess risks.,stay calm and neutral.,focus on creativity.,ask questions.,B,"Stay calm and neutral. Keeping yourself in the right frame of mind is essential to tolerating ambiguity. If Jill is starting to feel stressed or panicked, she should take a moment to breathe deeply and relax. That way, she can try to halt her negative thinking. Assessing risks, focusing on creativity, and asking questions would not necessarily help Jill in this situation.",Emotional Intelligence,3,easy
Government tries to protect competition by,controlling the prices of products.,restricting the production of certain products.,regulating monopolies.,preventing all monopolies.,C,"Regulating monopolies. A monopoly is a business that influences the entire production of a particular good or service. Controlling product prices and restricting production of certain products are actions that monopolies can take to increase product prices. Government does not prevent all forms of monopolies, since it allows natural monopoliesâ€”monopolies that are in the best interest of the public.",Economics,3,medium
The general economic growth of a country is supported by its,level of productivity.,standard of living.,gross domestic product.,wealth of goods and services.,A,"Level of productivity. The general economic growth of a country depends upon its level of productivity. For example, the level of productivity in the United States has given the country a wealth of goods and services that allows its citizens to reach a certain standard of living. Gross domestic product is the final market value of the total output of all goods and services produced within a country's geographic boundaries during a year's time. GDP serves as a measure of economic growth.",Economics,3,easy
Assuming that all people of a certain nationality will work long hours for low pay is an example of,harassment.,discrimination.,prejudice.,stereotyping.,D,"Stereotyping. A stereotype is a set image or an assumption about a person, a group of people, or a thing. Assuming that all people of a certain nationality will work long hours for low pay is stereotyping because it makes a judgment about a group as a whole rather than considering people as unique individuals. Discrimination is unfair treatment of a person or a group based on the person's or group's characteristics. Prejudice is opinion or judgment that is based on feeling or hearsay, rather than fact. Harassment is any kind of unwelcomed behavior that is carried out for the purpose of annoying or intimidating another person. and Stereotypes)",Emotional Intelligence,3,easy
"A customer asked, ""What ties would you suggest with this shirt?"" The salesperson responded, ""Let me show you some that would look wonderful with it."" The salesperson is demonstrating",a negative attitude.,interest and enthusiasm.,boredom and indifference.,extensive product knowledge.,B,"Interest and enthusiasm. The salesperson has shown an immediate interest in the customer's request and given an enthusiastic response. The salesperson does not have a negative attitude, which would be characterized by boredom and indifference. The extent of their product knowledge cannot be judged by the response to a single question. 2021, from https://www.go1.com/blog/post-3-tips-exceptional-customer-service",Emotional Intelligence,3,medium
Tony likes to make his own decisions and act without influence or direction from anyone else. He can be described as,egotistical.,dependent.,insecure.,independent.,D,Independent. Independent people are those who think and act on their own. They do not wait around for someone to tell them what to do next. People who are dependent and/or insecure rely heavily on others. Egotistical people have an inflated view of their own importance.,Emotional Intelligence,4,easy
Part of accountability is,being fair.,making judgments based on fact rather than opinion.,treating others kindly even if they are different from you.,doing what you say you will do.,D,Doing what you say you will do. Part of accountability is doing what you say you will do. This means that people can count on youâ€”an important aspect of responsible behavior. Making judgments based on fact rather than opinion is part of honesty. Treating others kindly even if they are different from you is part of compassion/respect. Being fair is part of fairness.,Emotional Intelligence,4,easy
"You don't cheat on your calculus test, even though your teacher isn't watching. You're showing",loyalty.,integrity.,empathy.,transparency.,B,"Integrity. Integrity means always doing the right thing, no matter what. This means that you do the right thing even when no one else is watching, when it isn't easy, or when it might not be in your best interest. People can depend on you to not simply take the easy way out. Not cheating on a test, even when no one is watching, shows integrity. Loyalty, empathy, and transparency are important characteristics, but they are not illustrated in this example.",Emotional Intelligence,4,easy
"In ethical dilemmas, someone (or something) could be",fired.,promoted.,respected.,hurt.,D,"Hurt. In ethical dilemmas, someone (or something) could be hurt. Making ethical decisions could lead to more respect, but this is not a way to determine whether or not a dilemma is ethical. Someone could be promoted or fired based on the outcome of an ethical dilemma, but again, this would not help you determine whether or not you are facing an ethical dilemma.",Emotional Intelligence,4,easy
Which of the following is a strategy that can help boost your energy and productivity:,Powering through to finish all you have to do.,Taking time to rest and relax.,Quitting your job.,Delegating all of your work to someone else.,B,"Taking time to rest and relax. Taking small breaks to rest and relax boosts productivity, reenergizes you, and gives your brain a chance to refresh. Powering through to finish all you have to do will not necessarily help boost energy and productivity; in fact, it might drain them even further. Quitting your job is not necessarily helpful or realistic. Finally, delegating all of your work to someone else will not necessarily boost your energy and productivity.",Emotional Intelligence,4,easy
Which of the following is vital to the successful operation of a private enterprise system:,Production,Mechanization,Competition,Distribution,C,"Competition. Competition is the rivalry between two or more businesses to attract scarce customer dollars. Competition is vital to the successful operation of a private enterprise system because it encourages people to go into business for themselves and develop the products that consumers want. Production, mechanization, and distribution take place in the private enterprise system as well as in other types of economic systems. These activities often are the result of competition because businesses are constantly trying to improve the way they produce and distribute products in order to attract customers.",Economics,4,medium
"When Annette becomes angry while receiving criticism from her supervisor, she should",interrupt the supervisor so she can defend her actions.,cross her arms.,maintain self-control.,avoid making eye contact with her supervisor.,C,"Maintain self-control. Self-control means that a person restrains their feelings, words, and actions. It is important for a person to maintain self-control when they become angry or upset while receiving criticism. Crossing her arms and avoiding eye contact with the supervisor are nonverbal behaviors (body language) that indicate that Annette has a defensive attitude. A person should avoid being defensive while receiving criticism. Annette should not interrupt the supervisor while they are speaking in order to defend her position. She should listen to the criticism before she responds to the feedback.",Emotional Intelligence,4,easy
An example of governmental change would be a change in,highway speed limits.,a person's occupation.,the price of goods.,the use of automation.,A,"Highway speed limits. Governmental changes refer to new or revised laws, regulations, policies, public services, and leadership. Changes in highway speed limits are governmental changes. Changes in the use of automation are technological changes. Changes in the price of goods are economic changes. Changes in a person's occupation are personal changes. https://www.transportation.ohio.gov/wps/portal/gov/odot/programs/traffic-regulations/speedzones",Emotional Intelligence,4,easy
Another employee is upset because of a reprimand from the manager. You listen quietly and then share how you handled a reprimand. You are demonstrating __________ behavior.,critical,indifferent,empathetic,impatient,C,"Empathetic. Empathy is the ability to put yourself in another person's place. By showing compassion and sharing a similar experience, you are demonstrating empathetic behavior. To be indifferent means that you don't care or wouldn't respond. To be critical means to find fault with your fellow employee's actions. To be impatient means not taking the time to listen or sympathize.",Emotional Intelligence,4,medium
Which of the following is a true statement about effective communication:,It is up to the sender to facilitate effective communication.,Effective communication is a two-way process.,There are very few barriers to effective communication.,People rarely make mistakes when communicating.,B,"Effective communication is a two-way process. Communication requires both a sender and a receiver to work. Both the sender and the receiver are responsible for facilitating effective communication. There are many barriers to effective communication, including spelling and grammar mistakes, poor listening skills, inappropriate nonverbal cues, and stereotypes and generalizations. People often make mistakes when they are communicating that create barriers to effective communication.",Emotional Intelligence,4,easy
Behavior that is characterized by respect for personal rights as well as for the rights of others is __________ behavior.,assertive,passive,offensive,aggressive,A,Assertive. Assertive people stand up for their own rights as well as the rights of others. Passive behavior is characterized by a failure to exercise personal rights and a lack of respect for personal needs. Aggressive behavior is characterized by a willingness to ignore the rights of others and to exploit them to achieve personal goals. Offensive behavior is unpleasant or displeasing actions.,Emotional Intelligence,5,medium
"Determine if the following statement is true or false: Anyone, regardless of the position they hold within a company, can become an effective leader.",True; leadership skills can be studied and practiced by those who are willing to learn.,True; anyone can be a leader if they pass a leadership skills assessment test.,False; only people with positions of authority in a company can be effective leaders.,False; a company with too many leaders usually experiences chaos and uncertainty.,A,"True; leadership skills can be studied and practiced by those who are willing to learn. A leader is an individual with the ability to guide or direct others in a desired manner to achieve goals. Each one of us has great leadership potential inside. The skills, behaviors, and characteristics associated with leadership can be studied and practiced by anyone with a desire to learn. Effective leaders with various skills and expertise can be found in the workplace at all levelsâ€”from the president to the frontline production employee. A successful business needs people with leadership skills at all levels in different circumstances. In some situations, having too many managers might create problems for employees. This often occurs when a manager contradicts another manager's directions. It is important to remember that there are some people holding positions of authority in the workplace who do not have good leadership skills, which makes them less effective leaders.",Emotional Intelligence,5,easy
An employee notifying a government agency that their business is violating health and safety regulations is an example of,spreading gossip.,reporting noncompliance.,unethical behavior.,verbal communication.,B,"Reporting noncompliance. Certain government agencies have developed health and safety regulations that businesses are expected to follow to provide employees with a safe work environment. If businesses do not comply with these regulations, they should be reported for noncompliance so the necessary action can be taken to solve the problem and make the workplace safe for employees. The goal is to correct dangerous situations and keep the workplace safe. An employee notifying a government agency is not an example of spreading gossip, unethical behavior, or verbal communication. In fact, the employee is exhibiting ethical behavior. Also, the employee may have notified the agency in writing, which is nonverbal communication. from https://www.oshaeducationcenter.com/articles/reporting-labor-violations/",Operations,5,medium
"Even when people view a certain way of doing something as harmful, they may continue to do it that way because",they are competitive.,they are innovative.,itâ€™s the best way.,itâ€™s easier.,D,"Itâ€™s easier. People often continue doing something even when it is harmful because it is easier than learning a new way. Innovative and competitive people find new and better ways to do things instead of continuing old or harmful ways. If something is harmful, it is not the best way.",Emotional Intelligence,5,easy
"To effectively lead change, you must first",assess how others will view the change.,point out why others' ideas are unacceptable.,indicate why the change is necessary.,communicate the urgency of the issue.,C,"Indicate why the change is necessary. To effectively lead change, you must be able to guide others and persuade them to alter their opinions or actions. Because some individuals have a difficult time accepting and making changes, change leaders must be able to explain why the change is necessary and how the change will benefit them. Others may or may not have other ideas about implementing change. Immediately pointing out the negative aspects of others' ideas may put them on the defensive and hinder your effectiveness in persuading the individuals to accept your suggested change. You cannot assess how others will view the suggested change until the change has been discussed. The reason for the change should be communicated, regardless of the urgency of the issue.",Emotional Intelligence,5,easy
Maggie owns an auto repair business. She'd like to be the best auto repair shop in the city. Is this a goal or a vision?,"A goal. It's long term, overarching, and inspirational.","A vision. It's specific, measurable, and time-bound.","A vision. It's long term, overarching, and inspirational.","A goal. It's specific, measurable, and time-bound.",C,"A vision. It's long term, overarching, and inspirational. When Maggie says she wants to be the best auto repair shop in the city, she's talking about her vision. A vision is long term, challenging but realistic, and compelling. A vision involves the big picture and the overarching aim of the organization. Also, it's meant to provide inspiration for the future. A goal, meanwhile, is specific, measurable, and time-bound. Goals might be considered small steps on the way to achieving the vision. In Maggie's example, a goal might be gaining a certain number of new customers this month.",Emotional Intelligence,5,easy
Which of the following is a skill that coaches need to master to be effective:,Communication,Management,Flexibility,Integrity,A,"Communication. The most important skills used in coaching are communication skills. A good coach knows how to listen well, ask the right questions, give feedback, and display appropriate nonverbal behavior. Management is the process of coordinating resources to accomplish an organization's goals. Flexibility and integrity are character qualities that good coaches display rather than skills that coaches need to master.",Emotional Intelligence,5,easy
Workers who enjoy close supervision and specific instructions will feel most comfortable working under a(n) __________ leader.,republican,authoritarian,democratic,laissez-faire,B,"Authoritarian. Authoritarian leaders give very few, if any, decision-making responsibilities to employees. Workers who prefer this style of leader would not feel comfortable with a democratic leader, who exerts only moderate control, or with a laissez-faire leader, who exerts little or no control. Republican is a term that describes a political party in the United States.",Emotional Intelligence,5,hard
Being exposed to different viewpoints can broaden your horizons by,allowing you to interact solely with people similar to you.,decreasing your ability to communicate with others.,helping you maintain your existing friendships.,opening your mind to ideas you may not have considered before.,D,"Opening your mind to ideas you may not have considered before. When you are exposed to different perspectives, your mind is opened to new ideas that you may not have considered before. This can help broaden your understanding of the people and world around you. Being exposed to different viewpoints often means interacting with people and groups that are different than you, not just those similar to you. Being exposed to different viewpoints can improve your ability to communicate with others, not decrease it. Your ability to maintain existing friendships is not necessarily related to being exposed to new viewpoints.",Emotional Intelligence,5,easy
"Pablo follows the same ethical beliefs whether heâ€™s hanging out with his friends, working on a group project, or working at his part-time job. Pablo follows ethical",situations.,principles.,problems.,consequences.,B,"Principles. Following ethical principles means your ethical beliefs donâ€™t change when youâ€™re in a new situation. Pablo follows the same ethical principles at school, home, and work. This is not referred to as an ethical problem. Ethical situations occur when Pablo decides whether something is right or wrong. If Pablo doesnâ€™t behave ethically, he could face consequences.",Emotional Intelligence,5,easy
Coins and paper money are types of,currency.,contracts.,bonds.,dividends.,A,"Currency. Currency is the money that a country uses to buy and sell goods and services. There are several types of currency. For example, coins and paper money are types of currency because they can be used to buy products. Coins and paper money generally are used by individuals to purchase the products they need. Bonds are interest-bearing certificates issued by the government that promise to pay bond owners a certain sum at a specified time. A dividend is a sum of money paid to an investor or stockholder as earnings on an investment. Dividends are often sent to the investor in the form of a check. A contract is a legal agreement between two or more businesses stating that one party is to do something in return for something provided by another party. treasury notes, etc.) https://www.investopedia.com/terms/c/currency.asp",Financial Analysis,6,easy
"Generally, the value of money decreases over time because of",deflation.,inflation.,investment.,recession.,B,"Inflation. Inflation is the increase in the price of goods and services over time. Because of inflation, money has more value today than it will in the future. Deflation is a decline in prices of goods and services over time. Investment is the use of money to generate profit or gain. Finally, a recession is a state of economic decline. https://www.investopedia.com/terms/i/inflation.asp",Financial Analysis,6,easy
What is the key reason that credit is used so widely by consumers and businesses?,Credit allows consumers and businesses to purchase major products without paying for them.,Credit allows new employees and new businesses to purchase items before income levels out.,Credit allows consumers to stretch their spending beyond the actual limits of income.,Credit allows consumers and businesses to purchase goods and services when they are needed.,D,"Credit allows consumers and businesses to purchase goods and services when they are needed. Credit is the arrangement by which businesses or individuals can purchase now and pay later. Credit enables people to purchase when products are needed and pay for them over a period of time, which is the key reason that credit is used. Credit is not a factor in leveling out income. Ultimately, income must pay for the credit purchases and cannot be stretched. Credit must be repaid.",Financial Analysis,6,easy
One difference between saving and investing is that investing,is not important for retirement.,has less risk.,helps you meet short-term financial goals.,has a higher rate of return.,D,"Has a higher rate of return. Investing has a higher rate of return than savings accounts and will yield much more wealth in the long run. Investing has more risk than saving, not less. It does not help you meet short-term financial goals; rather, it helps you meet long-term financial goals. Finally, investing is very important for retirement because saving alone will not bring enough wealth. Investing makes it possible to retire comfortably. your money. Retrieved October 7, 2021, from https://www.bankrate.com/investing/saving-vsinvesting/",Financial Analysis,6,easy
"In some countries, maintaining eye contact in a conversation is generally considered a sign of respect and engagement. This is an example of a cultural norm regarding",verbal cues.,personal space.,posture.,nonverbal cues.,D,"Nonverbal cues. Nonverbal cues are gestures, facial expression, tone of voice, or any other form of communicating without words. In some countries, eye contact is an important nonverbal cue that communicates respect and engagement. This is an example of a cultural norm regarding nonverbal cues, not verbal cues. Personal space and posture are other examples of nonverbal cues, but they are not demonstrated in this example. from https://www.skillsyouneed.com/ips/nonverbal-communication.html",Communication Skills,6,hard
"When monies are withheld from an employee's paycheck to cover taxes and insurance, these funds are the employee's",credit expenses.,gross earnings.,net pay.,payroll deductions.,D,"Payroll deductions. Payroll deductions are monies that an employer withholds from an employee's gross earnings. A large portion of the deductions is the various income taxes, which the employer pays to the government on behalf of the employee. Other deductions might include health insurance premiums, voluntary savings, and child support payments. Gross earnings are the employee's wages before the deductions are calculated. Net pay is the amount the employee receives in their paycheck after the deductions have been subtracted from the gross earnings. Credit expenses are loan balances on credit cards. https://www.surepayroll.com/resources/terminology/payroll/payroll-deductions",Financial Analysis,6,easy
"To endorse a check, the payee must sign their name on the",back of the check.,signature block of the check.,check's memo line.,check's â€œPay to the order ofâ€ section.,A,"Back of the check. Endorsement involves signing the back of the check, which allows the funds to be transferred from the payer (check source) to the payee (check recipient). The payer completes the front of the check, which includes the ""Signature"" line and the ""Pay to the order of"" line, which identifies who can cash the checkâ€”usually the payee. The memo line is used to identify the purpose of the check. endorsements, etc.)",Financial Analysis,6,easy
