Question,A,B,C,D,Correct,Explanation,Finance,Assessment,Difficulty
What should be included early in a written report?,A description of the research method and findings,A broad sentence detailing numerous arguments,A listing of the printed and online sources cited in the report,A specific sentence that highlights the main idea of the report,D,"A specific sentence that highlights the main idea of the report. The introduction to a written report should include a specific sentence detailing the main idea or purpose of the report. Arguments for and against the main idea should be included in the body of the report. Sources should also be cited in the body of the report as information from the different sources is introduced. The research method and findings should be included throughout the report, rather than right at the beginning. January 13, 2020, from https://custom-writing.org/blog/report-writing-top-tips",Communication Skills,2,easy
A video conference call is a __________ channel of communication.,lean,rich,slight,detailed,B,"Rich. A rich channel of communication involves multiple senses such as sight and hearing. A video conference call is an example of a rich communication channel because it includes seeing other participants' faces and hearing what others are saying. A lean channel of communication generally only uses sight. Slight and detailed channels of communication are not generally recognized terms. 2020, from https://www.encyclopedia.com/finance/finance-and-accountingmagazines/communication-channels",Communication Skills,2,medium
A magazine advertisement is an example of,word-of-mouth marketing.,publicity.,a touchpoint.,a brand promise.,C,"A touchpoint. A touchpoint is any interaction between a business and a customer or potential customer. The sum of the touchpoints that a customer experiences becomes the company's communication of its brand promise to that customer. Advertisements, publicity (unsponsored mentions of the brand or business in the news), and word-of-mouth marketing (what other customers are saying) are all examples of touchpoints that occur before a customer does business with a company. A brand promise is the specific benefit that customers can expect from using the good/service and interacting with the company.",Customer Relations,2,easy
Which of the following forms of customer management is most likely to look outward and have a customer-centric focus:,Customer relationship management,Customer experience management,Structured customer management,Inverse customer management,B,"Customer experience management. Customer experience management (CEM) includes the strategies, processes, and policies a business uses to meet or exceed customer expectations and to provide customers with outstanding experiences at every touchpoint. CEM looks outward, focuses on customer needs and wants, and uses touchpoints to allow the customer to learn something valuable about the company. Customer relationship management (CRM) includes the strategies, processes, technology, and people that a business uses to build, maintain, and maximize the long-term value of customer relationships. CRM tends to look inward, focuses on the business itself, and uses touchpoints to learn something valuable about the customer. Structured customer management and inverse customer management are not types of customer management. Structured relationships are characterized by rules, well-defined positions, and clear lines of authority. Inverse relationships exist when one value in a pair increases when the other decreases.",Customer Relations,2,medium
What is the primary role of financial planners?,To ensure businesses are compliant with government regulation,To make the most money for their own firms,To trade with other planners in the stock market,To help clients make wise investments and prepare for the future,D,"To help clients make wise investments and prepare for the future. Generally, financial planners help their clients make smart financial choices. More specifically, they assist clients in making wise investments and help clients prepare for the future financially. They also need to make money for their firms, but the client should come first. Financial planners assist clients in buying and selling stocks, but they don't purposefully trade with other planners in the stock market. Financial planners have different responsibilities than compliance agents who are responsible for ensuring that businesses are compliant with government regulations. 17, 2020, from https://www.investopedia.com/articles/basics/07/financial-advice.asp",Customer Relations,2,easy
What is the primary purpose of customer-relationship management technology?,To compile a mass email list,To make phone calls to keep customers interested,To archive past sales only,To establish stronger connections with customers,D,"To establish stronger connections with customers. Customer relationship management (CRM) incorporates the strategies, processes, technology, and people a business uses to build, maintain, and maximize the long-term value of customer relationships. CRM technology provides businesses with information about their customers and helps those businesses establish better relationships with top customers. Although businesses can use CRM technology to make phone calls to customers, archive past sales, and compile mass email lists, those are not the primary purpose of CRM technology. Learning Inc.",Customer Relations,2,medium
Businesses use marginal analysis for the purpose of,maximizing profit.,increasing productivity.,eliminating mistakes.,maintaining reputation.,A,"Maximizing profit. Marginal analysis is an assessment of the potential benefits of a business activity compared to the costs incurred from that same activity. Businesses use marginal analysis to make decisions and maximize profit. Marginal analysis is not directly related to increasing productivity, eliminating mistakes, or maintaining an organization's reputation. https://www.investopedia.com/terms/m/marginal-analysis.asp",Financial Analysis,2,easy
"Valerie used to wait all year for her family's trip to the beach, where she bought saltwater taffy and homemade fudge. Now, she can order the sweets online and have them whenever she wants. This is an example of how",utility is constant and unchanging.,place utility is not important.,business can create form utility.,the Internet has changed utility.,D,"The Internet has changed utility. The Internet impacts utility in many ways. One of these is by making it easier for products to have place utility. Online ordering means that customers can get the products they want regardless of their physical distance from the business, as is the case with Valerie and her sweets. This example does not demonstrate that place utility is not important; rather, the use of the Internet has enhanced place utility. This example is not related to form utility. Finally, this example does not demonstrate that utility is constant and unchanging.",Economics,2,hard
"A company moves its manufacturing facilities to another country, where it is able to pay employees much less money. Many people see this action as unethical, but what reason might the company use to defend itself?",The action is acceptable in a foreign culture.,The action is committed by unethical employees.,The action is beneficial for employees.,The action results in a negative public image.,A,"The action is acceptable in a foreign culture. What many Americans would consider unethical may be perfectly acceptable in another culture. A major example of this deals with working conditions and wages. In many developing countries, manufacturing standards and pay expectations are much lower than they are in more developed parts of the world. Because of this, some American companies move their operations overseas in an effort to cut costs. These companies are able to pay foreign workers a fraction of the wages they were paying American workers for doing the same work. The company may assume that since its actions are acceptable in the other culture, they are ethical. However, many others may disagree. The company would not say that the action is committed by unethical employees, since that would involve admitting wrongdoing. The action is likely not beneficial for employees. The action could result in a negative public image, but this is not a reason the company can use to defend itself.",Economics,2,hard
A company's board of directors is often responsible for __________ and __________ the top executives.,encouraging; shadowing,supporting; assessing,replacing; auditing,promoting; networking,B,"Supporting; assessing. The board of directors is responsible for helping an organization reach its goals while meeting stakeholder needs. This often includes hiring, supporting, and assessing the performance of the organization's top executives. The board of directors does not usually shadow or audit the top executives. While it's possible for members of a board of directors to encourage, promote, and make networking connections for top executives, those are not necessarily responsibilities of the board. from https://www.investopedia.com/terms/b/boardofdirectors.asp",Professional Development,2,hard
"In the 1970s, OPEC (Organization of the Petroleum-Exporting Countries) increased the price of oil as a form of political protest against the United States. This pushed up the costs of many goods and services in the United States. This is an example of",cost-push inflation.,demand-pull deflation.,cost-push deflation.,demand-pull inflation.,A,"Cost-push inflation. Inflation can occur when certain commodities become more limited and more expensive, driving up the prices of all related goods and services. This is called cost-push inflation. When OPEC increased the price of oil in the 1970s, the result was an increase in the cost of several other goods and services. This was an example of cost-push inflation. Demand-pull inflation is a different type of inflation in which demand is greater than supply, ""pulling"" inflation higher. Deflation is a steady decline in the general price levels of goods and services over time. There is no such thing as demand-pull deflation or cost-push deflation.",Economics,3,hard
The biggest traders of currency on the foreign exchange market are,individual traders.,commercial and investment banks.,investment funds.,businesses and corporations.,B,"Commercial and investment banks. Banks are the biggest traders of currency on the foreign exchange market, making up about half of its trading volume. They often trade with each other exclusively on their own interbank market, a series of electronic networks used only by commercial banking institutions. Banks may use the forex to make transactions for clients or to engage in speculative trading for their own profit. Investment funds are the second biggest traders of currency on the foreign exchange market. Investment funds use the forex to exchange currency when buying or selling foreign securities and to engage in speculative trading on behalf of their clients. Businesses and corporations also participate in the forex. Companies that buy foreign goods and/or sell their goods in foreign markets participate in the forex as a means to complete these business transactions. Individual traders represent the lowest volume of trading on the foreign exchange market, but the practice of speculative trading for personal profit is quickly gaining popularity.",Economics,3,easy
Jackson is sure that no one will notice if he steals merchandise from his employer. Jackson is facing an ethical dilemma because of,a bad role model.,a lack of consequences.,pressure from others.,a desire to prove himself.,B,"A lack of consequences. The threat of punishment is one reason why most people behave properly. If Jackson knows that he will not be caught, he may be tempted to steal merchandise from his employer. Jackson is not dealing with a bad role model, pressure from others, or a desire to prove himself.",Emotional Intelligence,3,medium
Which of the following strategies can help you develop cultural sensitivity in the workplace:,Reading about different cultures,Pretending cultural differences do not exist,Asking everyone to dress the same,Joking about every culture equally,A,"Reading about different cultures. One of the best strategies for acquiring cultural sensitivity is to educate yourself about other cultures. This can be achieved by politely asking a person about their culture, educating yourself through reading or attending cultural events, or attending diversity training workshops. Ignoring cultural differences or pretending they do not exist can have the opposite effect from displaying cultural sensitivity. Rather than asking everyone in the workplace to dress the same, a culturally sensitive workplace would allow each employee to wear his/her culture's garb if s/he desires to do so. Joking about a person's culture does not lead to cultural sensitivity; even if you only joke about your own culture, you may not realize how those jokes can affect others.",Emotional Intelligence,3,medium
Which of the following is an advantage of transparent communication in the workplace:,Increased information security,Increased worker productivity,Increased employee turnover,Increased manager turnover,B,"Increased worker productivity. When people are able to communicate more openly with each other, they will be more productive. Businesses that encourage transparency allow employees to ask questions when they are confused or struggling, which can lead to less wasted time. Transparency also leads to fewer misunderstandings, which can create a more productive work environment. Honesty and transparency should not affect an organization's information security. Being transparent does not mean sharing private or restricted information. Both employee and manager turnover are more likely to be decreased in a transparent work environment than increased. This is because transparency leads to trust among coworkers and between employees and managers. If a person trusts the people s/he works with and for, s/he is less likely to want to change jobs, which results in less turnover, not more.",Emotional Intelligence,3,medium
Which of the following is an effective approach to negotiation:,Be willing to adjust your strategy based on the other side's approach.,Do not have a specific goal or target in mind.,Display strong emotional reactions.,Try to trick the other side with carefully chosen language.,A,"Be willing to adjust your strategy based on the other side's approach. Because people and situations differ, you need to be aware of the other side's negotiating tactics and respond appropriately. You might need to change your strategy during the negotiation process. As long as you have established clear objectives ahead of time, you can adjust your strategy and still negotiate effectively. If you do not have a specific goal or target in mind, it will likely be very difficult to know if you have accomplished what you wanted out of a negotiation. It is always important to keep your emotions out of a negotiation. An outburst could easily derail the conversation and hurt your credibility. Any attempts to â€œtrickâ€ the other side could also affect your credibility, which is one of the most important factors in a negotiation. If the other side does not consider you to be credible or trustworthy, it can be very difficult to have a successful negotiation.",Emotional Intelligence,3,easy
Which of the following statements best describes office politics:,Engaging in office politics will advance your career.,Office politics are negative and should be avoided.,Engaging in office politics can be beneficial.,Office politics are damaging to work relationships.,C,"Engaging in office politics can be beneficial. Office politics are activities performed by people in a workplace with the intention of furthering their personal or professional goals. These activities exist in almost every workplace environment. While office politics can sometimes be detrimental to the workplace or work relationships, participating in them could also be beneficial. Positive examples of office politics include networking or improving relationships with coworkers or supervisors. Because they exist in almost every workplace, ignoring office politics or trying to avoid or ""steer clear"" of them might be damaging to career prospects or workplace productivity. Being able to detect office politics might also protect you from being taken advantage of. On the other hand, being seen as too self-serving in the office might hurt your career prospects as well. Finding the right balance of office politics participation can be beneficial to your career, your workplace relationships, and your productivity. advancement. Retrieved December 31, 2019, from https://corporatefinanceinstitute.com/resources/careers/soft-skills/office-politics/",Emotional Intelligence,3,easy
How are vote taking and consensus building different?,"In consensus building, every group member must agree on a decision.","In vote taking, every group member must agree on a decision.","In vote taking, a minority of group members make a decision.","In consensus building, a minority of group members make a decision.",A,"In consensus building, every group member must agree on a decision. In both vote taking and consensus building, each group member has the power to say â€œnoâ€ to a possible decision. However, in vote taking, the decision is made by the majority of the group members' votesâ€”even if an individual group member votes against that decision. In consensus building, each group member must agree before a decision is made. In consensus building, although each individual group member has the power to decide that an option should not be selected, no amount of group members gets to make a decision unless the entire group agrees.",Emotional Intelligence,3,easy
Why do active listeners paraphrase what a speaker or presenter has said?,To help the listeners recognize the speaker's nonverbal cues,To help the speaker learn how to speak more clearly,To show that they agree with the speaker's message,To confirm the speaker's message and show understanding,D,"To confirm the speaker's message and show understanding. By paraphrasing, or restating, what a speaker has said, people who are actively listening can confirm the speaker's message and demonstrate that they understand the speaker. Teaching the speaker to speak more clearly is not a goal of paraphrasing. Paraphrasing what a speaker has said does not necessarily show that listeners agree with the speaker's message. Active listeners pay attention to nonverbal cues, but that is not why they paraphrase the speaker's message.",Emotional Intelligence,3,easy
Which of the following is most likely to limit your ability to assess the long-term impact of a decision:,Negative outcomes,Personal experience,Positive outcomes,Personal bias,D,"Personal bias. A bias is a prejudice you have either for or against something. Bias isn't always a bad thing, but it can sometimes limit your ability to consider the full impact of your decisions. Because everyone has biases, it is important to acknowledge the ones you have and try to not let those biases impact your decision-making as best as you can. Personal experience can actually help you assess longterm impacts of a decision. If you have been in a situation before, you will know more about what might happen than if you have never been in that situation. Even though personal experience is helpful, it should not be the only thing you consider when assessing long-term impacts. Both positive and negative outcomes should be considered when evaluating the possible long-term impact of a decision. on Others)",Emotional Intelligence,3,medium
What do open-end investment funds and closed-end investment funds have in common?,They can issue an unlimited number of shares over time.,They are run by professional portfolio managers.,Their pricing is determined by supply and demand.,They are also known as mutual funds.,B,They are run by professional portfolio managers. Both closed-end funds and open-end funds must be professionally managed by an advisor with registration from the U.S. Securities and Exchange Commission (SEC). Only an open-end fund can issue an unlimited number of shares; closed-end funds issue a fixed number of shares. Closed-end funds are unique because their pricing is determined by supply and demand. Only open-end funds are also known as mutual funds. https://www.investopedia.com/terms/i/investmentcompany.asp,Financial Analysis,4,medium
"Sam participates in the London Stock Exchange, where investors trade stock amongst themselves without involvement from the issuing companies. Which of the following best describes this type of market:",Virtual market,Primary market,Secondary market,Tertiary market,C,"Secondary market. The secondary market is where investors are able to trade securities after companies have sold their offerings on the primary market. The secondary market is often called the â€œstock marketâ€ and includes the London Stock Exchange, New York Stock Exchange, and Nasdaq. Primary markets are where companies sell securities to the public for the first time. A virtual market is where products are purchased and sold electronically, with no physical interaction between buyer and seller. Tertiary market can refer to a smaller market. 2020, from https://www.investopedia.com/investing/primary-and-secondary-markets/",Financial Analysis,4,medium
Which of the following is true about the debt market:,It is known for being unstable by nature.,It is commonly called the stock market.,Its participants may benefit from dividends.,Its investments typically involve less risk.,D,"Its investments typically involve less risk. The debt market is where participants can buy or sell loans. Compared with the equity market, the debt market is known for having lower risk and lower reward. The equity market is known for having higher risk and reward and being unstable as a result of vulnerability to political, social, and economic events. It is also referred to as the stock market. Dividends are payments made by companies to their shareholders, so they are potential benefits of the equity market, not the debt market. Retrieved January 8, 2020, from https://www.investopedia.com/ask/answers/071415/whatare-differences-between-debt-and-equity-markets.asp",Financial Analysis,4,easy
One risk of business consolidation is,growth of market share.,elimination of redundancy.,diversification of products.,clashes in corporate culture.,D,"Clashes in corporate culture. When two businesses merge, it is crucial to think about the differences in company culture. Employees are often the essence of a company. If two diverse companies with different philosophies, processes, and experiences merge without proper consideration of and response to these differences, then the consolidation might fail. Eliminating redundancy, diversifying goods and services, and growing market share are all potential benefits of business consolidation, not risks. https://smallbusiness.chron.com/businesses-consolidate-5114.html",Financial Analysis,4,medium
"Clara works for a bank that has just developed an arrangement with an insurance company, allowing it to sell its products to the bank's clients. This is known as a __________ arrangement.",bait-and-switch,BATNA,brick-and-click,bancassurance,D,"Bancassurance. A bancassurance arrangement is mutually beneficial for banks and insurance companies. Insurance companies are able to sell insurance to the bank's clients, and banks are able to profit from the additional revenue, plus increased customer satisfaction. BATNA stands for Best Alternative to a Negotiated Agreement. Brick-and-click refers to a business with both a brick-and-mortar (physical) store and an online store. Bait-and-switch refers to a form of advertising in which businesses promote a low-priced item to attract customers before trying to sell a higher priced item. https://www.investopedia.com/terms/b/bancassurance.asp",Financial Analysis,4,hard
"A country's unemployment rate impacts the economy because when people are unemployed, they lose their",absolute advantage.,individual identity.,purchasing power.,corporate connection.,C,"Purchasing power. When people are unemployed, they don't just lose their income. They also lose the opportunity to purchase and contribute to a country's economy through their purchasing power. While those who are unemployed might lose a sense of individual identity and their connection to corporations, these losses do not impact the economy. Absolute advantage is the advantage achieved when a nation can produce a good or service at a lower cost than another nation. January 9, 2020, from https://www.investopedia.com/articles/economics/10/unemploymentrate-get-real.asp",Financial Analysis,4,medium
"James demonstrates home bias in his investments, which means he",is limited by the markets of foreign countries.,maintains a diversified investment portfolio.,takes advantage of increased financial globalization.,could be heavily affected by a domestic market event.,D,Could be heavily affected by a domestic market event. Home bias means a preference for investing a majority of a portfolio in domestic equities. This concentration of investments can be risky because a single event in the domestic market can affect a majority of an investment portfolio. A diverse investment portfolio would take advantage of increased financial globalization and be spread across different countries. He is not limited by the markets of foreign countries because he does not invest in foreign markets. https://www.investopedia.com/terms/h/homebias.asp,Financial Analysis,4,medium
"Ann-Marie is preparing an annual report. While many people might look at the report, Ann-Marie needs to remember that this report's main audience is",the CEO.,customers.,possible employees.,shareholders.,D,"Shareholders. The annual report is a document that reviews a company's activities each year. It contains financial information that must be shared with stakeholders, who have invested in the company, and includes other items like a letter from the chief executive officer, new product plans, and plans for future programming. It is possible that customers, employees, and potential employees see this document because reporting companies must post their annual reports, but they are not the target audience of this document. January 9, 2020, from https://www.sec.gov/fast-answers/answers-annrephtm.html",Financial Analysis,4,medium
"If a company wants to list its securities on the New York Stock Exchange, it must select a __________ ticker symbol.",4-letter,double digit,unique,color,C,"Unique. A ticker symbol is a unique series of characters, often letters, that represents a security. Because each symbol is assigned to a different security, there cannot be any repetition. The New York Stock Exchange uses alphabetical symbols with up to three letters. The ticker symbol is not an actual graphic and therefore would not be in color. https://www.investopedia.com/terms/t/tickersymbol.asp",Financial Analysis,4,medium
Corinne has recently decided to put her money into a lending investment. Which of the following might she choose:,Collectibles,Stocks,Bonds,Real estate,C,"Bonds. A bond is a low-risk lending investment offered by a government, municipality, or corporation at a set interest rate for a particular period of time. With a bond, you don't pay a penalty if you withdraw the invested amount before the end of the time frame. Other types of lending investments include savings accounts, money market accounts, and certificates of deposit. Stocks, collectibles, and real estate are all types of ownership investments, which provide opportunities for a return by letting you own something of significance.",Financial Analysis,4,easy
How can accountants demonstrate due care?,Request competitive compensation,Serve local communities for free,Refrain from making any mistakes,Engage in professional development,D,"Engage in professional development. The principle of due care means performing the role of accountant as well as possible. Because of the nature of the profession, accountants need to be competent in all aspects of the job. They must strive for continuous improvement and excellence. Demonstrating due care doesn't mean that accounts have to be perfectâ€”everyone makes mistakes. However, it does mean that accountants must try to do the best job they can. Accountants can pursue the principle of due care by engaging in professional development and dedicating themselves to deepening their accounting knowledge and skills. Serving local communities for free and requesting competitive compensation are not demonstrations of due care.",Financial Analysis,5,medium
Which of the following is a source of cash that flows into a business:,Loans,Payroll,Taxes,Rent,A,"Loans. Businesses often obtain loans from banks or investors. A thriving business may use loan money to expand its operations. On the other hand, an ailing business might use borrowed money simply to survive. Other sources of cash that flow into a business include sale of assets, interest, sale of products, and startup money. Payroll, taxes, and rent are examples of cash that flow out of a business.",Financial Analysis,5,easy
Jane examined the equity statement for a company in which she invested to see her,par value.,retained earnings.,treasury stock.,dividends.,D,"Dividends. Dividends are payments made to those who have invested in a company. These payments can be made on a recurring basis or infrequently. Dividends are included on an equity statement, a financial document released as a common component of the annual financial statement. Retained earnings reflect the income the company has chosen to keep. Treasury stock is the number of shares that have been repurchased by the company. Retained earnings and treasury stock are other components that appear on an equity statement, but they do not belong to Jane or other investors. Par value refers to the value of a bond, not an investor. Retrieved January 9, 2020, from https://www.investopedia.com/ask/answers/012115/whatare-components-shareholders-equity.asp",Financial Analysis,5,medium
The Kodiak Company does not pay dividends to its shareholders. In which of the following equity statement components would this money appear instead:,Treasury stock,Outstanding shares,Retained earnings,Cash flow,C,"Retained earnings. The retained earnings component of an equity statement reflects the income earned and kept by the company. Dividends are payments made to shareholders. If a company decides not to pay dividends, then that money would be considered retained earnings. Outstanding shares and treasury stock are other components of an equity statement, but they are not affected if dividends are not paid. Cash flow is not a recognized label on an equity statement. Retrieved January 9, 2020, from https://www.investopedia.com/ask/answers/012115/whatare-components-shareholders-equity.asp",Financial Analysis,5,hard
"In general, what is the relationship between finance managers and accountants?",Finance managers determine what monetary records accountants keep.,Accountants approve the decisions that finance managers make about money.,Accountants record the information that finance managers need to make decisions.,Finance managers rely on accountants to decide on the acquisition of funds.,C,Accountants record the information that finance managers need to make decisions. The accounting and finance functions have distinct primary focuses and purposes. The accounting function records and generates the information needed to plan and make decisions in the finance function. Accountants do not approve the decisions finance managers make about money. Finance managers do not have total control over what records accountants keep. The acquisition of funds is a main responsibility of a company's finance department.,Financial Analysis,5,medium
One key difference between out-of-pocket costs and sunk costs is,value.,timing.,accessibility.,ownership.,B,"Timing. Out-of-pocket costs are those that must be paid now or in the future, using resources that have yet to be spent. Sunk costs, on the other hand, are those that have already been incurred. Sunk cost refers to money that has already been spent and is unable to be regained. Value, accessibility, and ownership do not represent the difference between out-of-pocket and sunk costs. https://www.investopedia.com/terms/s/sunkcost.asp",Financial Analysis,5,easy
"A manager must decide whether to make products in-house or outsource manufacturing. In this scenario, the company's committed costs are likely to be",relevant costs.,irrelevant costs.,cash inflows.,cash receipts.,B,"Irrelevant costs. Committed costs are those that have already been set aside for a future expense and cannot be altered. Because these costs are already expected and cannot be changed, they are not relevant to business decisions a manager may make. Cash inflow is the money going into a business. Cash receipts are the money that a business collects (e.g., business income). https://www.investopedia.com/terms/i/irrelevantcost.asp",Financial Analysis,5,medium
"A company needs a new customer relationship management system, and it is choosing between two software companies. One has a more expensive monthly fee but no startup costs. The other has a lower monthly cost but includes a startup fee. Which of the following techniques would help the company determine which option is more cost-effective:",Marginal analysis,Return on investment,Vertical analysis,Sales forecasting,A,"Marginal analysis. Marginal analysis is a technique used to make financial decisions by comparing the relevant costs of each alternative to determine the difference in cost. The company should perform marginal analysis to see the difference in cost between the two software options. Return on investment, vertical analysis, and sales forecasting would not help the company compare the difference in cost between the two software options. https://www.cliffsnotes.com/study-guides/accounting/accounting-principles-ii/incrementalanalysis/introduction-to-incremental-analysis",Financial Analysis,5,hard
What is one way in which customer relationship management (CRM) data cleansing is useful to businesses?,Data cleansing helps businesses create duplicate data.,CRM software has a limited data capacity.,Data cleansing helps businesses archive old data.,CRM software lengthens sales cycles.,C,"Data cleansing helps businesses archive old data. CRM technology provides businesses with information about their customers and helps those businesses establish better relationships with top customers. However, to optimize their use of CRM technology, businesses must cleanse the data in CRM applications. This typically involves identifying and removing inaccurate and/or duplicate data. Businesses also cleanse their CRM data to archive old data. Doing so typically reduces wasted time and shortens sales cycles. CRM software can be built to suit a business's needs, so data caps are not likely a concern. buzzboard.com/crm-data-cleansing",Customer Relations,5,medium
